1_a,1_o,2_a,2_o,3_a,3_o,4_a,4_o,5_a,5_o,6_a,6_o,7_a,7_o,8_a,8_o,9_a,9_o,10_a,10_o,11_a,11_o,12_a,12_o,13_a,13_o,14_a,14_o,15_a,15_o,16_a,16_o,17_a,17_o,18_a,18_o,19_a,19_o,20_a,20_o,21_a,21_o,22_a,22_o,23_a,23_o,24_a,24_o,25_a,25_o,26_a,26_o,27_a,27_o,28_a,28_o,29_a,29_o,30_a,30_o,31_a,31_o,32_a,32_o,33_a,33_o,34_a,34_o,35_a,35_o,36_a,36_o,37_a,37_o,38_a,38_o,39_a,39_o,40_a,40_o,41_a,41_o,42_a,42_o,43_a,43_o,44_a,44_o,45_a,45_o,class,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4,instance_hardness,comittee_vote
0.83752,0.59491,0.83752,0.59259,0.84139,0.58565,0.83946,0.57639,0.82979,0.55093,0.81625,0.51852,0.7795,0.4838,0.70986,0.41204,0.65377,0.45833,0.59188,0.45602,0.52224,0.46528,0.45648,0.48611,0.41006,0.53472,0.37331,0.57639,0.35203,0.62269,0.32882,0.68056,0.32302,0.69907,0.33269,0.64815,0.37524,0.5787,0.44294,0.49537,0.53191,0.47454,0.61315,0.47222,0.67311,0.47222,0.73114,0.46528,0.78917,0.52546,0.82205,0.57639,0.83559,0.60648,0.83366,0.61111,0.82592,0.58333,0.79884,0.52315,0.75048,0.45833,0.68472,0.42593,0.61896,0.44213,0.53578,0.43981,0.45068,0.45833,0.38491,0.49074,0.34043,0.55093,0.30368,0.59259,0.27466,0.63426,0.26112,0.6713,0.26112,0.6875,0.28433,0.65046,0.33462,0.59491,0.40039,0.49074,0.51064,0.46065,1,0.8,1.0,0.0,0.6666666666666666,0.6666666666666666,0.9768689597088405,0.7518332478648286,0.0,0.9375,1.0,0.5472550793247883,0.9583333333333334,0.7581118546297891,0.008928571428571428,0.9583333333333334,0.7587301587301587,0.08003925193667312,0.10018653345236987,0.12494567477329006,0.8392923812152381,2
0.29014,0.31019,0.29594,0.30556,0.30174,0.2963,0.32108,0.28009,0.3617,0.25463,0.4294,0.23148,0.52998,0.22685,0.64797,0.25,0.74855,0.31481,0.82592,0.41667,0.87427,0.52315,0.88395,0.62037,0.88201,0.65278,0.86654,0.66898,0.85687,0.67593,0.84139,0.66435,0.80464,0.58565,0.74275,0.47917,0.67505,0.38194,0.58994,0.30093,0.4971,0.24074,0.40039,0.22222,0.294,0.25,0.2147,0.30787,0.18375,0.33565,0.18182,0.33333,0.18956,0.31713,0.2205,0.2963,0.29594,0.25,0.40426,0.21296,0.53578,0.20139,0.67505,0.24769,0.78143,0.33796,0.84333,0.44444,0.8646,0.53935,0.8588,0.59259,0.853,0.61806,0.82592,0.59259,0.78917,0.50926,0.73694,0.40509,0.67118,0.30324,0.59574,0.22685,0.49903,0.18287,0.40039,0.18287,0.31335,0.22222,1,0.5,0.5909090909090908,0.0,0.3333333333333333,0.3333333333333333,0.5347738343009067,0.29687327576753336,0.0,0.9375,0.0,0.2986670900519257,0.75,0.5746015530419335,0.0,0.8333333333333334,0.523015873015873,0.06307165161029858,0.08785961855681548,0.12246020947133106,0.40074444924848485,1
0.2089,0.26157,0.2147,0.25231,0.22244,0.26157,0.26112,0.24306,0.33656,0.23843,0.43714,0.25463,0.53191,0.30093,0.59961,0.38194,0.64023,0.48611,0.65571,0.57639,0.65957,0.64815,0.65957,0.68519,0.65377,0.68981,0.64217,0.66204,0.61896,0.59722,0.5764,0.50926,0.52031,0.3912,0.44487,0.28241,0.36557,0.20833,0.2766,0.15972,0.19149,0.14815,0.13153,0.17593,0.088975,0.21991,0.083172,0.21528,0.10058,0.20139,0.12959,0.16898,0.17602,0.15741,0.2205,0.16204,0.31528,0.15972,0.42553,0.18519,0.52998,0.24306,0.61122,0.33102,0.66151,0.42593,0.68472,0.50926,0.68859,0.5787,0.67118,0.61574,0.64603,0.60185,0.62669,0.55787,0.59768,0.4838,0.54159,0.37963,0.46422,0.28935,0.35783,0.24074,0.25145,0.22222,0.18375,0.21065,0.14507,0.21759,1,0.5,0.5909090909090908,0.0,0.3333333333333333,0.3333333333333333,0.5347738342993444,0.29687327576667916,0.0,0.9375,0.0,0.4167152742943875,0.7916666666666666,0.6409420385640365,0.0,0.9166666666666666,0.5738095238095238,0.06323675752089841,0.08993160206058363,0.1233761853505345,0.4413523496485806,1
0.19923,0.30324,0.19536,0.30093,0.19729,0.30324,0.19536,0.30093,0.20696,0.28704,0.27853,0.27315,0.37911,0.26157,0.47389,0.28704,0.55126,0.34954,0.62089,0.43287,0.66925,0.53241,0.70406,0.61806,0.70986,0.66204,0.706,0.6713,0.70019,0.68981,0.69246,0.68519,0.68085,0.625,0.6441,0.5,0.58414,0.375,0.49516,0.29167,0.38491,0.25,0.26306,0.25,0.18569,0.28241,0.15474,0.30093,0.12766,0.30324,0.12573,0.30093,0.13153,0.2963,0.14313,0.30093,0.18569,0.28241,0.26692,0.25463,0.38878,0.24074,0.51257,0.2662,0.61702,0.34028,0.67505,0.42824,0.70986,0.52778,0.73501,0.61574,0.74081,0.64583,0.73694,0.65972,0.73114,0.65509,0.7234,0.59722,0.69439,0.49769,0.65184,0.39352,0.58607,0.30556,0.48356,0.24769,0.37137,0.24074,1,0.5,0.5909090909090908,0.0,0.3333333333333333,0.3333333333333333,0.53477383429928,0.296873275766644,0.0,0.9375,0.0,0.24388387795710187,0.7916666666666666,0.6638348788191879,0.0,0.7916666666666666,0.6039682539682539,0.06878582792325169,0.09040517168153461,0.12419214073956181,0.382423918541952,1
0.21857,0.34722,0.21857,0.34491,0.22244,0.34491,0.23211,0.34028,0.27273,0.31944,0.33656,0.30324,0.42166,0.30787,0.5029,0.34722,0.56093,0.43056,0.61122,0.53009,0.65377,0.61806,0.68472,0.67824,0.69052,0.7037,0.68085,0.70602,0.66538,0.69444,0.64023,0.625,0.59768,0.52546,0.52998,0.43519,0.45068,0.36343,0.3675,0.32407,0.27853,0.33796,0.18569,0.37037,0.1412,0.38889,0.13346,0.40741,0.12959,0.40741,0.13346,0.40741,0.13733,0.38657,0.16054,0.37037,0.22244,0.34028,0.30948,0.30556,0.40812,0.28935,0.5087,0.32639,0.58994,0.40972,0.64603,0.51852,0.69052,0.61574,0.70406,0.67361,0.69246,0.67824,0.67698,0.64583,0.6499,0.57407,0.61702,0.47222,0.55513,0.37731,0.47582,0.30556,0.38104,0.26852,0.294,0.29398,0.22824,0.35648,1,0.5,0.5909090909090908,0.0,0.3333333333333333,0.3333333333333333,0.53477383429928,0.296873275766644,0.0,0.9375,0.3333333333333333,0.48174376841579936,0.9166666666666666,0.7547478551899521,0.008928571428571428,0.7916666666666666,0.6539682539682541,0.0724387232409085,0.09469805157286082,0.12323093948614157,0.41329515042607357,1
0.24565,0.31713,0.24371,0.31481,0.24178,0.31713,0.25532,0.30093,0.2882,0.28241,0.34043,0.26389,0.40812,0.26389,0.47389,0.28704,0.53772,0.32407,0.59768,0.38426,0.64603,0.46065,0.68279,0.54861,0.70019,0.62269,0.70019,0.67361,0.69632,0.69213,0.69052,0.6875,0.67892,0.65741,0.6499,0.58565,0.60928,0.48843,0.55126,0.3912,0.47389,0.31713,0.3675,0.28241,0.25725,0.28241,0.18182,0.30556,0.15087,0.3125,0.1412,0.31713,0.13733,0.32176,0.1412,0.3125,0.15667,0.29861,0.19342,0.28704,0.25145,0.26389,0.34236,0.25231,0.43714,0.25694,0.52418,0.29861,0.59574,0.3912,0.66344,0.49306,0.71373,0.57407,0.72534,0.59722,0.71954,0.60417,0.7118,0.62037,0.69246,0.57176,0.64217,0.47222,0.57834,0.37269,0.49903,0.30324,0.40812,0.27778,1,0.5,0.5909090909090908,0.0,0.3333333333333333,0.3333333333333333,0.53477383429928,0.296873275766644,0.0,0.9375,0.0,0.29217248250140826,0.7916666666666666,0.6337175097300773,0.002976190476190476,0.875,0.6238095238095237,0.06741441430582583,0.0923686702125391,0.12318377660912136,0.5171019734428348,1
0.25145,0.29167,0.25532,0.29398,0.25532,0.29167,0.25919,0.28241,0.30948,0.26852,0.38685,0.25231,0.48356,0.26852,0.58221,0.3287,0.66151,0.40972,0.706,0.52083,0.73501,0.60417,0.75629,0.65741,0.74468,0.69907,0.73308,0.69907,0.72534,0.69676,0.72534,0.65509,0.70793,0.61806,0.67505,0.52778,0.61702,0.42361,0.53191,0.33102,0.42166,0.27778,0.30561,0.27778,0.20696,0.30093,0.16441,0.3125,0.15474,0.31944,0.1528,0.3125,0.15474,0.31713,0.17408,0.30324,0.21857,0.28241,0.30368,0.25,0.42166,0.23843,0.55126,0.2662,0.66731,0.34259,0.74855,0.4537,0.78917,0.5625,0.80077,0.63194,0.7911,0.6412,0.77756,0.64583,0.76596,0.64583,0.74275,0.59722,0.70793,0.50231,0.64603,0.38657,0.5648,0.29861,0.47582,0.24537,0.37911,0.23148,1,0.5,0.5909090909090908,0.0,0.3333333333333333,0.3333333333333333,0.53477383429928,0.296873275766644,0.0,0.9375,0.0,0.23009693318473823,0.75,0.6321499874133728,0.0,0.8333333333333334,0.5888888888888888,0.06578580941303759,0.09028824425397607,0.1200914189152704,0.3674434937575263,1
0.69246,0.72685,0.67505,0.71991,0.65764,0.70833,0.63636,0.69676,0.58801,0.66667,0.52418,0.64352,0.44681,0.6412,0.37331,0.65741,0.33462,0.66435,0.30368,0.6875,0.27079,0.72222,0.26692,0.72685,0.28046,0.70602,0.30174,0.68056,0.32302,0.65741,0.35783,0.6412,0.41006,0.61343,0.46615,0.60185,0.52031,0.60185,0.56867,0.61806,0.60928,0.63889,0.6499,0.66898,0.68085,0.67361,0.70019,0.73148,0.69632,0.7338,0.69439,0.70139,0.67892,0.66898,0.64023,0.65046,0.58994,0.62731,0.53191,0.61111,0.46809,0.61343,0.40812,0.62731,0.35783,0.64352,0.32302,0.65741,0.29014,0.68287,0.26692,0.71065,0.26499,0.71528,0.28046,0.69444,0.30561,0.67593,0.34236,0.6412,0.40039,0.59491,0.46228,0.56944,0.52998,0.56944,0.59961,0.60417,0.64603,0.62731,1,0.6,0.5454545454545454,0.0,0.5,0.5,0.9048143165602843,0.5511907392905492,0.0,0.9375,1.0,0.5422263207760885,0.9583333333333334,0.8487297517961458,0.005952380952380952,1.0,0.7547619047619047,0.07631080901664064,0.09692943516135946,0.12158227395903014,0.6840357077248267,1
0.57447,0.78935,0.57253,0.78935,0.57253,0.78935,0.57253,0.78935,0.57447,0.78935,0.56673,0.78009,0.54739,0.7662,0.52224,0.74537,0.48743,0.71991,0.45455,0.69444,0.4236,0.68056,0.39458,0.66667,0.3675,0.66435,0.31141,0.68056,0.24565,0.7037,0.24371,0.69213,0.28627,0.65741,0.33462,0.62731,0.37911,0.625,0.4294,0.64352,0.4913,0.64815,0.54739,0.6713,0.59574,0.69444,0.63056,0.74306,0.63636,0.74306,0.63443,0.72222,0.61896,0.7037,0.58994,0.67824,0.54932,0.65509,0.49323,0.6412,0.4294,0.64352,0.37331,0.63889,0.32689,0.63426,0.28433,0.65741,0.24371,0.69213,0.23404,0.74537,0.25338,0.72222,0.26692,0.69444,0.29787,0.65509,0.33462,0.64352,0.35977,0.63889,0.39652,0.63657,0.4352,0.63194,0.47582,0.64815,0.51644,0.64583,1,0.9,0.5454545454545454,0.0,0.5,0.5,0.9694969391403649,0.6849356735398833,0.0,0.9375,1.0,0.5253778060470047,0.9583333333333334,0.8407129104089297,0.002976190476190476,1.0,0.7285714285714286,0.07357116548117835,0.0967398881286681,0.12499187473571689,0.9287466403428197,2
0.4971,0.67361,0.4971,0.6713,0.4971,0.67361,0.49323,0.66898,0.47582,0.65509,0.44487,0.64583,0.40232,0.63657,0.34236,0.63426,0.27853,0.64352,0.22244,0.62269,0.18569,0.63426,0.12379,0.7037,0.12959,0.69676,0.15667,0.64815,0.17795,0.61111,0.2147,0.58796,0.27273,0.53935,0.34429,0.4838,0.41973,0.44213,0.48743,0.42361,0.55513,0.4213,0.62476,0.46065,0.66925,0.53935,0.67892,0.56019,0.67311,0.54398,0.65184,0.50231,0.60735,0.46528,0.54739,0.45139,0.47969,0.45602,0.41973,0.47917,0.36557,0.5162,0.32495,0.56481,0.2882,0.61806,0.24371,0.65972,0.22244,0.6713,0.23404,0.66435,0.25725,0.6412,0.29207,0.59722,0.33075,0.53241,0.37718,0.4838,0.43133,0.44676,0.4971,0.42361,0.56093,0.42361,0.61509,0.46528,0.65377,0.55556,1,0.6,0.5454545454545454,0.0,0.5,0.5,0.5481978973131865,0.3050224834136942,0.0,0.9375,1.0,0.5501235717758516,0.9583333333333334,0.7487948483419397,0.0,1.0,0.7595238095238095,0.074119553511937,0.1009780032870918,0.12442156667939956,0.7153878565737315,1
