index,true_label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Soil_Type1,Soil_Type2,Soil_Type3,Soil_Type4,Soil_Type5,Soil_Type6,Soil_Type7,Soil_Type8,Soil_Type9,Soil_Type10,Soil_Type11,Soil_Type12,Soil_Type13,Soil_Type14,Soil_Type15,Soil_Type16,Soil_Type17,Soil_Type18,Soil_Type19,Soil_Type20,Soil_Type21,Soil_Type22,Soil_Type23,Soil_Type24,Soil_Type25,Soil_Type26,Soil_Type27,Soil_Type28,Soil_Type29,Soil_Type30,Soil_Type31,Soil_Type32,Soil_Type33,Soil_Type34,Soil_Type35,Soil_Type36,Soil_Type37,Soil_Type38,Soil_Type39,Soil_Type40,label,description_lengths,description_lengths_unnormalized
65836,0,3142,64,7,60,-3,3502,227,226,133,4915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.04387163 0.03974608 0.31237279 0.16900956 0.19305072 0.24194922],"[ 31.61534691  28.64233696 225.10616786 121.7938841  139.11873421
 174.356616  ]"
71420,1,2953,122,15,300,31,4214,244,227,109,4469,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.08773122 0.03940754 0.24210164 0.20123518 0.19176515 0.23775927],"[ 62.27908062  27.97482597 171.8643319  142.85384436 136.1312107
 168.78175263]"
80528,0,3064,76,4,360,23,2721,225,232,143,6499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.05023394 0.04622686 0.21140597 0.20593599 0.19060869 0.29558855],"[ 36.40554639  33.50154061 153.21016749 149.24596296 138.13796583
 214.21898763]"
89530,1,2710,18,7,474,79,1368,215,226,148,1639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09962872 0.04152207 0.17179228 0.22102951 0.19710574 0.26892168],"[ 62.05073281  25.86076446 106.99562891 137.66154672 122.76135144
 167.4897342 ]"
99397,1,2656,14,9,124,7,537,212,222,147,1405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09862594 0.04217511 0.1619946  0.21718124 0.19181335 0.28820976],"[ 64.2728228   27.48479141 105.56908211 141.53326219 125.00145197
 187.82132655]"
102345,1,3001,318,12,446,64,4855,189,229,180,1706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.05005115 0.04264041 0.24144182 0.20097908 0.19409684 0.2707907 ],"[ 32.00058106  27.26247065 154.36764758 128.49748689 124.09727547
 173.13207558]"
106232,0,3129,54,6,127,16,3556,224,226,137,3986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.04537902 0.0378912  0.2702719  0.18475938 0.20695701 0.25474149],"[ 29.90022757  24.96650391 178.08208604 121.73790717 136.3639191
 167.84910596]"
110336,1,2939,337,8,134,10,4894,203,229,165,2223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.052639   0.03807177 0.23408491 0.19310989 0.19900003 0.28309439],"[ 33.79964984  24.44599176 150.30656667 123.99639787 127.77847309
 181.77569212]"
112889,1,2981,35,13,642,78,3271,218,211,127,1368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.08558029 0.03272921 0.2366742  0.16524073 0.18413644 0.29563914],"[ 60.31243586  23.06580541 166.79538679 116.45287405 129.76956591
 208.35073803]"
115205,1,2922,118,22,297,120,4488,251,215,80,418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.05169365 0.0433787  0.20671324 0.20505679 0.19544746 0.29771015],"[ 35.66381595  29.92726937 142.61291581 141.47012292 134.84057877
 205.39232805]"
124735,1,2768,96,7,218,19,1934,232,229,129,2362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09903125 0.03631315 0.17424458 0.18941617 0.21846957 0.28252528],"[ 59.54946507  21.83582189 104.7767406  113.8997225  131.37011279
 169.8880874 ]"
129193,1,2727,29,2,601,110,1165,218,233,152,805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09177576 0.03983449 0.19014868 0.19825946 0.17721353 0.30276807],"[ 66.29127177  28.77316395 137.34778783 143.20635419 128.00450151
 218.69479069]"
133605,1,2584,29,18,421,60,934,211,199,119,330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0.06506695 0.09345098 0.17053296 0.21042889 0.23360579 0.22691443],"[ 41.10655492  59.03838808 107.73552976 132.94009501 147.58228135
 143.3549601 ]"
135326,1,2842,54,8,342,44,1956,225,222,130,1537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09749214 0.04032741 0.22134698 0.18319881 0.20989373 0.24774093],"[ 59.21294071  24.49330425 134.4375699  111.26784903 127.4813061
 150.46822866]"
135345,1,2787,91,11,495,3,1718,237,223,117,972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09485559 0.03681445 0.17597128 0.17791233 0.20773203 0.30671432],"[ 60.147287    23.34378994 111.58219169 112.81299773 131.72146872
 194.48546576]"
140285,1,2836,195,16,150,42,2308,215,252,166,1605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0.04183169 0.04242141 0.18622875 0.20210265 0.19435604 0.33305945],"[ 24.01449554  24.35303816 106.90911479 116.02191164 111.5747813
 191.20082774]"
148017,0,3064,350,15,67,30,4935,191,213,159,335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.09558234 0.04223525 0.21188071 0.22000438 0.17933378 0.25096353],"[ 66.33686993  29.31246851 147.05125426 152.68931473 124.46275836
 174.17584262]"
152662,1,2679,57,16,218,9,1182,229,204,103,1761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.06385592 0.04812708 0.19849764 0.20269426 0.23808499 0.2487401 ],"[ 35.32991118  26.62753043 109.82385961 112.14574759 131.72656382
 137.62177852]"
161716,1,3144,234,15,424,83,5916,193,252,194,1852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.05780934 0.04633956 0.26052575 0.18339695 0.18613351 0.26579489],"[ 40.07061511  32.12032085 180.58373575 127.1218158  129.0186658
 184.23605068]"
164734,1,2917,20,5,42,4,1590,217,229,150,1785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[0.03577463 0.04155098 0.17327756 0.18598822 0.23938816 0.32402045],"[ 22.25488283  25.8482731  107.79349424 115.70061053 148.91995013
 201.5684923 ]"
184617,1,2917,141,3,90,2,849,224,238,150,2130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0.05118786 0.0901736  0.20536904 0.19508227 0.20512246 0.25306478],"[ 31.38540279  55.28918379 125.92029218 119.61304398 125.76910289
 155.16453008]"
201218,0,3197,294,21,384,123,4380,155,229,212,1248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.05820672 0.04887317 0.28150033 0.18183516 0.16800289 0.26158173],"[ 41.81561532  35.1104089  202.22939716 130.63009257 120.69301069
 187.9199029 ]"
202038,1,3235,285,27,480,158,4362,134,227,228,1304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[0.04963434 0.05847887 0.23519304 0.1842877  0.1500321  0.32237395],"[ 38.39477842  45.23649192 181.93421623 142.55625282 116.05774247
 249.37324876]"
219059,1,2882,63,25,484,115,573,233,180,65,1485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.06105676 0.05415696 0.18410193 0.17764243 0.21275294 0.31028898],"[ 40.06688459  35.53907027 120.81202352 116.57314983 139.61349391
 203.61894317]"
222569,2,2086,57,27,67,18,150,226,171,61,510,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[0.18569924 0.06830825 0.05781371 0.17673086 0.16213117 0.34931677],"[133.08003674  48.95262103  41.43178207 126.65291596 116.190146
 250.33537863]"
224242,1,2805,238,13,400,197,1376,196,251,191,1082,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0.04751656 0.09171712 0.15280205 0.20464409 0.22952456 0.27379562],"[ 30.24038305  58.37040516  97.24594069 130.23913983 146.07350944
 174.24840084]"
236983,0,3094,58,8,371,-80,1501,226,224,132,1230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.04552427 0.03541603 0.2717118  0.16920883 0.19225874 0.28588034],"[ 31.38737473  24.41810048 187.33569577 116.66351335 132.55561564
 197.10440395]"
241487,0,2658,51,22,0,0,1308,225,188,87,875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,[0.0974642  0.0535161  0.13658195 0.19952552 0.23766291 0.27524931],"[ 55.35454127  30.39433102  77.57136428 113.32000249 134.98003301
 156.32713209]"
243054,4,2020,282,23,351,98,481,151,234,220,882,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.17006547 0.10916084 0.13553657 0.14777923 0.12027916 0.31717873],"[126.5519273   81.23056461 100.8577124  109.96792257  89.50411877
 236.0242805 ]"
243294,0,2956,351,22,150,31,646,175,197,156,1830,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.06690926 0.04970165 0.16660136 0.23850846 0.23347945 0.24479982],"[ 37.28815201  27.69845208  92.84600019 132.9194184  130.11678089
 136.42555908]"
247117,2,2179,343,43,60,23,323,102,139,153,470,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[0.18690789 0.09700414 0.08584852 0.17228929 0.14307856 0.3148716 ],"[157.09403747  81.53091777  72.15473752 144.80725829 120.25596401
 264.64612821]"
248206,2,2276,355,17,124,53,600,190,207,153,573,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[0.17664852 0.10148221 0.07337362 0.20260483 0.20202648 0.24386433],"[113.08078313  64.96339468  46.96980557 129.6966018  129.32637406
 156.10869253]"
252794,0,3024,203,6,67,6,1020,217,246,164,1742,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.10260506 0.09138966 0.16140384 0.2156081  0.19186719 0.23712614],"[ 61.43397315  54.71883817  96.63927647 129.09365182 114.87896995
 141.97741082]"
265013,3,2249,133,26,324,123,1168,250,216,76,618,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.16565313 0.09950481 0.10995778 0.16580691 0.15991146 0.29916591],"[114.04443114  68.50441065  75.70079042 114.15029916 110.09156176
 205.96173551]"
267077,1,2967,265,14,371,18,1583,183,245,201,1282,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,[0.1061988  0.04634756 0.15697205 0.25977433 0.21265568 0.21805158],"[ 61.65632526  26.90821776  91.13398863 150.81838239 123.46248752
 126.59521044]"
275163,0,2903,90,6,0,0,966,230,230,134,2874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.05328194 0.04165201 0.1835343  0.18745086 0.20986286 0.32421804],"[ 34.23100885  26.75935694 117.91170123 120.42789434 134.82649454
 208.29403633]"
275256,1,2895,227,8,342,27,1071,209,248,176,511,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,[0.06648632 0.05162113 0.15351435 0.24206448 0.24242656 0.24388716],"[ 33.9898833   26.39033293  78.48132402 123.75091687 123.93601999
 124.68272712]"
276822,0,3104,43,20,67,10,2807,219,191,98,3992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.04920735 0.04285916 0.2331741  0.1796008  0.22089757 0.27426102],"[ 35.53646313  30.95194302 168.39320746 129.70374756 159.52736883
 198.06527805]"
288750,2,2472,17,8,212,22,660,214,223,146,1318,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.1580326  0.09706999 0.12073902 0.18771357 0.16448275 0.27196207],"[ 99.81801994  61.3122497   76.26230016 118.56538895 103.89212117
 171.77920608]"
299601,1,3026,36,4,541,94,2971,219,230,148,1260,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,[0.05357423 0.03983893 0.23267759 0.20643142 0.22437635 0.24310148],"[ 32.36067433  24.06407868 140.54524251 124.69165801 135.53100856
 146.8416329 ]"
300278,1,2969,24,15,60,9,1022,211,207,129,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[0.04801189 0.05291164 0.16440989 0.22556107 0.29139899 0.21770651],"[ 24.83654208  27.37118429  85.04920896 116.6827054  150.74064602
 112.61954311]"
304243,4,2484,247,24,170,57,1332,164,250,218,604,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.14911776 0.05429152 0.09121792 0.16763036 0.17543996 0.36230249],"[103.73094551  37.76686594  63.45401555 116.60888636 122.04148135
 252.02885968]"
308774,0,3389,52,3,335,107,2161,221,233,149,2733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[0.04826597 0.09812639 0.21134728 0.21243    0.23039648 0.19943389],"[ 31.63061934  64.30614485 138.50432141 139.21387121 150.98802155
 130.69699801]"
309196,2,2499,74,25,60,30,957,240,184,60,874,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.19873321 0.05329568 0.05754556 0.16159896 0.17815641 0.35067018],"[132.82001318  35.61927525  38.45961167 108.00196038 119.0678525
 234.36454356]"
309227,0,3095,134,25,162,-2,3334,250,220,82,2530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[0.04129959 0.04905603 0.21945239 0.18245856 0.20278669 0.30494673],"[ 26.19119622  31.1101423  139.17136174 115.71077382 128.60238121
 193.38979126]"
310797,1,2532,287,12,170,37,1154,186,239,193,934,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.15473308 0.09542743 0.11803921 0.19204905 0.14617661 0.29357462],"[ 99.93279077  61.63083837  76.2344257  124.03292957  94.40668145
 189.60218742]"
319620,1,3076,249,6,192,25,3085,207,244,175,1452,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,[0.05305114 0.04788895 0.2474289  0.23768999 0.24047837 0.17346265],"[ 27.93783122  25.2193161  130.30118786 125.17247413 126.64089321
  91.34902519]"
334370,0,3115,58,13,335,20,1924,229,212,114,1022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,[0.0996331  0.04351235 0.17921985 0.25356067 0.23964466 0.18442937],"[ 57.16066742  24.96354261 102.82050997 145.47070467 137.48693103
 105.80927463]"
335956,1,2855,245,26,190,74,1209,158,249,221,1689,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.10258775 0.09030681 0.09637364 0.21938208 0.19424436 0.29710537],"[ 68.70408347  60.47941046  64.54243015 146.92246263 130.08747188
 198.97456561]"
338274,0,3584,265,19,417,221,3240,168,245,214,1273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[0.04543983 0.08616234 0.22899765 0.18498038 0.19892557 0.25549422],"[ 37.71450419  71.51368712 190.06525482 153.53145858 165.10579599
 212.05708249]"
344065,1,2604,338,22,474,223,684,167,203,172,1075,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.14700416 0.05623828 0.09619015 0.1707426  0.18530543 0.34451938],"[101.16707151  38.70273224  66.19728465 117.50367293 127.52569479
 237.09544591]"
345372,0,3477,101,27,757,192,2131,252,192,49,1615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[0.0583004  0.08772951 0.20492884 0.16467269 0.17990194 0.30446661],"[ 48.4981602   72.97925455 170.47347328 136.98572707 149.65443234
 253.27562992]"
347079,2,2639,0,10,366,80,589,206,222,154,1041,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.10676841 0.08903603 0.12483298 0.22293109 0.23809647 0.21833501],"[ 65.13443069  54.31673231  76.15477807 135.9998637  145.25155804
 133.19601218]"
348535,1,3107,330,9,150,38,1350,199,229,170,2964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,[0.0597635  0.04560636 0.1903573  0.24491184 0.24591593 0.21344506],"[ 32.36564424  24.69867472 103.09029999 132.63496961 133.17874686
 115.59375487]"
353386,5,3286,97,16,162,17,2692,244,215,96,1624,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,[0.09679229 0.09193794 0.17906536 0.23307914 0.25941442 0.13971086],"[ 59.45872349  56.47673366 109.99840694 143.17864141 159.35618633
  85.82325536]"
