index,true_label,alcohol,malic_acid,ash,alcalinity_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,OD280_OD315_of_diluted_wines,proline,label,description_lengths,description_lengths_unnormalized
28,0,13.87,1.9,2.8,19.4,107.0,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915.0,0,[0.10889402 0.22189596 0.66921002],[ 18.81822991  38.34636063 115.64774962]
29,0,14.02,1.68,2.21,16.0,96.0,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035.0,0,[0.12925104 0.25935751 0.61139145],[18.35787291 36.83724407 86.8375725 ]
30,0,13.73,1.5,2.7,22.5,101.0,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285.0,0,[0.11694581 0.29685645 0.58619773],[ 21.11983023  53.61079445 105.86438541]
31,0,13.58,1.66,2.36,19.1,106.0,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515.0,0,[0.09317792 0.30652044 0.60030163],[ 18.03151718  59.31693176 116.1686021 ]
32,0,13.68,1.83,2.36,17.2,104.0,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990.0,0,[0.13973503 0.22152765 0.63873732],[20.05680359 31.79687035 91.68086892]
33,0,13.76,1.53,2.7,19.5,132.0,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235.0,0,[0.17880331 0.25643611 0.56476058],[ 33.27850805  47.72736806 105.11209071]
34,0,13.51,1.8,2.65,19.0,110.0,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095.0,0,[0.13746532 0.29687981 0.56565487],[17.12649488 36.98758744 70.47366719]
35,0,13.48,1.81,2.41,20.5,100.0,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920.0,0,[0.10298103 0.22197815 0.67504082],[15.23693667 32.84359227 99.87814557]
36,0,13.28,1.64,2.84,15.5,110.0,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880.0,0,[0.14620682 0.23190976 0.62188343],[20.04326491 31.79214829 85.2530316 ]
37,0,13.05,1.65,2.55,18.0,98.0,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105.0,0,[0.17046936 0.24843065 0.58109999],[21.66755423 31.57684596 73.86087206]
38,0,13.07,1.5,2.1,15.5,98.0,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020.0,0,[0.18277548 0.21343997 0.60378455],[23.48777019 27.42834544 77.59001676]
39,0,14.22,3.99,2.51,13.2,128.0,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760.0,0,[0.15351496 0.26123832 0.58524673],[ 30.0094751   51.06749806 114.40544597]
40,0,13.56,1.71,2.31,16.2,117.0,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795.0,0,[0.11100518 0.27186767 0.61712715],[ 18.31991376  44.86810717 101.84854608]
41,0,13.41,3.84,2.12,18.8,90.0,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035.0,0,[0.1959     0.25464886 0.54945114],[26.95260622 35.03547863 75.59540538]
42,0,13.88,1.89,2.59,15.0,101.0,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095.0,0,[0.11091569 0.26360941 0.6254749 ],[ 20.92377948  49.72880794 117.99321091]
43,0,13.24,3.98,2.29,17.5,103.0,2.64,2.63,0.32,1.66,4.36,0.82,3.0,680.0,0,[0.2205135 0.226545  0.5529415],[27.78308782 28.54301254 69.66658505]
44,0,13.05,1.77,2.1,17.0,107.0,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885.0,0,[0.1188752  0.20748455 0.67364026],[ 18.60157729  32.4671584  105.41115078]
45,0,14.21,4.04,2.44,18.9,111.0,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080.0,0,[0.14567996 0.31348612 0.54083392],[23.39240141 50.33769407 86.84381985]
46,0,14.38,3.59,2.28,16.0,102.0,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065.0,0,[0.10626031 0.25423891 0.63950078],[ 21.66161218  51.8276747  130.36493467]
47,0,13.9,1.68,2.12,16.0,101.0,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985.0,0,[0.10605319 0.26832012 0.62562669],[ 18.18752335  46.01538438 107.29144141]
48,0,14.1,2.02,2.4,18.8,103.0,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060.0,0,[0.10637844 0.30642188 0.58719968],[15.48845583 44.61431996 85.49492001]
49,0,13.94,1.73,2.27,17.4,108.0,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260.0,0,[0.09999272 0.35156344 0.54844384],[ 21.77529419  76.5595487  119.43395799]
50,0,13.05,1.73,2.04,12.4,92.0,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150.0,0,[0.13498319 0.25549121 0.60952559],[ 29.35156164  55.55555372 132.53892947]
51,0,13.83,1.65,2.6,17.2,94.0,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265.0,0,[0.09118212 0.22896632 0.67985156],[ 18.35173857  46.08282704 136.83008846]
52,0,13.82,1.75,2.42,14.0,111.0,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190.0,0,[0.11379239 0.28263094 0.60357668],[ 26.40877606  65.59258771 140.07722124]
53,0,13.77,1.9,2.68,17.1,115.0,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375.0,0,[0.10391833 0.31786088 0.57822078],[ 18.22263455  55.73860398 101.39410308]
54,0,13.74,1.67,2.25,16.4,118.0,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060.0,0,[0.09859067 0.27139609 0.63001324],[15.43404404 42.48616305 98.62649397]
55,0,13.56,1.73,2.46,20.5,116.0,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120.0,0,[0.10309003 0.29337734 0.60353263],[ 17.41964497  49.57345734 101.98196953]
56,0,14.22,1.7,2.3,16.3,118.0,3.2,3.0,0.26,2.03,6.38,0.94,3.31,970.0,0,[0.09891051 0.30726539 0.5938241 ],[16.65490877 51.73845489 99.9902428 ]
57,0,13.29,1.97,2.68,16.8,102.0,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270.0,0,[0.09044677 0.28699374 0.62255949],[ 15.27454813  48.46717913 105.13714507]
58,0,13.72,1.43,2.5,16.7,108.0,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285.0,0,[0.09603203 0.28247061 0.62149736],[ 21.29460925  62.63640496 137.81384505]
59,1,12.37,0.94,1.36,10.6,88.0,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520.0,1,[0.47076073 0.19135209 0.33788718],[103.70142569  42.15195415  74.43140384]
60,1,12.33,1.1,2.28,16.0,101.0,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680.0,1,[0.5207546 0.1925986 0.2866468],[87.93955403 32.52402292 48.40589398]
61,1,12.64,1.36,2.02,16.8,100.0,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450.0,1,[0.52801043 0.22723888 0.24475069],[78.27972647 33.68910174 36.28529959]
62,1,13.67,1.25,1.92,18.0,94.0,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630.0,1,[0.33670637 0.21521782 0.44807581],[42.33729137 27.06138075 56.34082889]
63,1,12.37,1.13,2.16,19.0,87.0,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420.0,1,[0.2020513  0.14557946 0.65236924],[ 37.50421258  27.02206317 121.09100287]
64,1,12.17,1.45,2.53,19.0,104.0,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355.0,1,[0.43388871 0.17486425 0.39124704],[64.53400608 26.00826068 58.19174101]
65,1,12.37,1.21,2.56,18.1,98.0,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678.0,1,[0.25716488 0.19728829 0.54554684],[30.57297329 23.45456214 64.85718109]
66,1,13.11,1.01,1.7,15.0,78.0,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502.0,1,[0.1914476  0.18402666 0.62452575],[ 34.7663604   33.41873778 113.41216861]
67,1,12.37,1.17,1.92,19.6,78.0,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510.0,1,[0.30757057 0.15897659 0.53345285],[46.49201385 24.03071859 80.6361202 ]
68,1,13.34,0.94,2.36,17.0,110.0,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750.0,1,[0.48461464 0.2328631  0.28252225],[71.04116297 34.13612425 41.41581329]
69,1,12.21,1.19,1.75,16.8,151.0,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718.0,1,[0.35337285 0.15124995 0.4953772 ],[ 73.74155318  31.56271452 103.37490172]
70,1,12.29,1.61,2.21,20.4,103.0,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870.0,2,[0.55064865 0.22471244 0.22463891],[74.36222092 30.34623985 30.33631006]
71,1,13.86,1.51,2.67,25.0,86.0,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410.0,1,[0.20688766 0.18234467 0.61076767],[ 37.70535315  33.23238338 111.3126367 ]
72,1,13.49,1.66,2.24,24.0,87.0,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472.0,1,[0.38217612 0.2036142  0.41420968],[44.65326951 23.79018289 48.39605485]
73,1,12.99,1.67,2.6,30.0,139.0,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985.0,1,[0.20383185 0.19722927 0.59893888],[ 47.9129918   46.36098156 140.78738977]
74,1,11.96,1.09,2.3,21.0,101.0,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886.0,1,[0.27072947 0.19408856 0.53518197],[39.50749218 28.3233013  78.09898709]
75,1,11.66,1.88,1.92,16.0,97.0,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428.0,1,[0.46715177 0.16381534 0.36903289],[68.332026   23.96187827 53.97981249]
76,1,13.03,0.9,1.71,16.0,86.0,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392.0,1,[0.33405076 0.18291806 0.48303118],[47.57171821 26.04911457 68.78781878]
77,1,11.84,2.89,2.23,18.0,112.0,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500.0,1,[0.5137625  0.18945853 0.29677897],[67.70048281 24.96568784 39.10771857]
78,1,12.33,0.99,1.95,14.8,136.0,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750.0,1,[0.34728397 0.22448552 0.42823051],[52.60834761 34.00621111 64.87054192]
79,1,12.7,3.87,2.4,23.0,101.0,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463.0,1,[0.27455988 0.16785836 0.55758176],[38.62766913 23.61589432 78.44585203]
80,1,12.0,0.92,2.0,19.0,86.0,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278.0,1,[0.31274239 0.12895081 0.5583068 ],[54.77202611 22.58375292 97.77885909]
81,1,12.72,1.81,2.2,18.8,86.0,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714.0,1,[0.20369623 0.15830896 0.63799481],[26.80357603 20.83124498 83.95119671]
82,1,12.08,1.13,2.51,24.0,78.0,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630.0,1,[0.42346474 0.15654862 0.41998665],[62.08342938 22.95132065 61.5735125 ]
83,1,13.05,3.86,2.32,22.5,85.0,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515.0,2,[0.58311621 0.23046709 0.1864167 ],[78.66750353 31.09203683 25.14925264]
84,1,11.84,0.89,2.58,18.0,94.0,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520.0,1,[0.35784901 0.17382292 0.46832807],[46.74370703 22.70546322 61.17493473]
85,1,12.67,0.98,2.24,18.0,99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450.0,1,[0.29065669 0.15068032 0.55866299],[39.44353613 20.44805718 75.81330346]
86,1,12.16,1.61,2.31,22.8,90.0,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495.0,1,[0.45592489 0.14903822 0.39503688],[63.85244098 20.87285539 55.32505337]
87,1,11.65,1.67,2.62,26.0,88.0,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562.0,1,[0.40615885 0.14683301 0.44700814],[68.32129575 24.69925576 75.19268742]
88,1,11.64,2.06,2.46,21.6,84.0,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680.0,1,[0.47076987 0.1632459  0.36598424],[59.21538147 20.53374437 46.03501124]
89,1,12.08,1.33,2.3,23.6,70.0,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625.0,1,[0.40906599 0.1607268  0.43020722],[63.4281444  24.92165789 66.70621918]
90,1,12.08,1.83,2.32,18.5,81.0,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480.0,1,[0.51981209 0.16181522 0.31837269],[68.3318832  21.27141437 41.85167262]
91,1,12.0,1.51,2.42,22.0,86.0,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450.0,1,[0.5240824  0.15996443 0.31595317],[69.98800045 21.3622711  42.19361438]
92,1,12.69,1.53,2.26,20.7,80.0,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495.0,1,[0.56880887 0.18327498 0.24791614],[75.25514576 24.24783845 32.80006078]
93,1,12.29,2.83,2.22,18.0,88.0,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290.0,1,[0.28318722 0.14378959 0.57302318],[44.37467575 22.53144274 89.79119171]
94,1,11.62,1.99,2.28,18.0,98.0,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345.0,1,[0.30198035 0.15192234 0.54609731],[46.95567722 23.62278431 84.91403276]
95,1,12.47,1.52,2.2,19.0,162.0,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937.0,1,[0.26368002 0.17227749 0.56404249],[ 56.96211833  37.21666276 121.84865091]
96,1,11.81,2.12,2.74,21.5,134.0,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625.0,1,[0.49814648 0.21872105 0.28313247],[76.61013151 33.63719128 43.54304696]
97,1,12.29,1.41,1.98,16.0,85.0,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428.0,1,[0.27240209 0.13927447 0.58832344],[39.39350983 20.14121918 85.08057132]
98,1,12.37,1.07,2.1,18.5,88.0,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660.0,1,[0.20960596 0.19047175 0.59992229],[33.72507199 30.64642666 96.52599066]
99,1,12.29,3.17,2.21,18.0,88.0,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406.0,1,[0.27789864 0.14550748 0.57659388],[ 51.05989031  26.73491231 105.9408552 ]
100,1,12.08,2.08,1.7,17.5,97.0,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710.0,1,[0.28407018 0.15081677 0.56511306],[42.72984574 22.68586354 85.00432581]
101,1,12.6,1.34,1.9,18.5,88.0,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562.0,1,[0.45657153 0.16331774 0.38011073],[60.82610771 21.75777885 50.63972405]
102,1,12.34,2.45,2.46,21.0,98.0,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438.0,1,[0.3084154  0.15919828 0.53238632],[40.75674034 21.03786902 70.35424019]
103,1,11.82,1.72,1.88,19.5,86.0,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415.0,1,[0.4474247  0.15222176 0.40035354],[61.17571043 20.81305425 54.73974084]
104,1,12.51,1.73,1.98,20.5,85.0,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672.0,1,[0.30007359 0.15146672 0.54845969],[41.04457556 20.71787583 75.01924939]
105,1,12.42,2.55,2.27,22.0,90.0,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315.0,1,[0.43370146 0.14846127 0.41783727],[73.78836275 25.25865192 71.08928866]
106,1,12.25,1.73,2.12,19.0,80.0,1.65,2.03,0.37,1.63,3.4,1.0,3.17,510.0,1,[0.39712552 0.14934981 0.45352467],[50.16081499 18.86433341 57.28457666]
107,1,12.72,1.75,2.28,22.5,84.0,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488.0,1,[0.52397923 0.18206881 0.29395197],[63.11317117 21.93014383 35.40644321]
108,1,12.22,1.29,1.94,19.0,92.0,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312.0,1,[0.35531112 0.15086296 0.49382592],[49.76401376 21.1295002  69.16406157]
109,1,11.61,1.35,2.7,20.0,94.0,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680.0,1,[0.25258794 0.15546385 0.59194821],[39.86534685 24.53648575 93.42576094]
110,1,11.46,3.74,1.82,19.5,107.0,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562.0,1,[0.33572991 0.19324327 0.47102682],[67.0362112  38.58546956 94.05135529]
111,1,12.52,2.43,2.17,21.0,88.0,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325.0,1,[0.35621233 0.16770624 0.47608143],[45.65795115 21.49595276 61.02231892]
112,1,11.76,2.68,2.92,20.0,103.0,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607.0,1,[0.44081014 0.18547035 0.37371951],[68.52444199 28.83157856 58.09512566]
113,1,11.41,0.74,2.5,21.0,88.0,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434.0,1,[0.41394616 0.15392641 0.43212743],[57.5911587  21.41534623 60.12066646]
114,1,12.08,1.39,2.5,22.5,84.0,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385.0,1,[0.37431637 0.15491217 0.47077145],[49.27683102 20.39339302 61.97464752]
115,1,11.03,1.51,2.2,21.5,85.0,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407.0,1,[0.40482777 0.14735452 0.44781772],[ 90.40739928  32.90767044 100.00804879]
116,1,11.82,1.47,1.99,20.8,86.0,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495.0,1,[0.396205   0.14346253 0.46033248],[58.08355994 21.03157309 67.48463332]
117,1,12.42,1.61,2.19,22.5,108.0,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345.0,1,[0.35194154 0.17580626 0.4722522 ],[44.97829311 22.46812164 60.35405086]
118,1,12.77,3.43,1.98,16.0,80.0,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372.0,1,[0.56273543 0.20443941 0.23282516],[81.13764378 29.47696436 33.56974447]
119,1,12.0,3.43,2.0,19.0,87.0,2.0,1.64,0.37,1.87,1.28,0.93,3.05,564.0,1,[0.41700272 0.17397051 0.40902677],[57.01917968 23.78798803 55.92858231]
120,1,11.45,2.4,2.42,20.0,96.0,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625.0,1,[0.2625833  0.15721849 0.58019821],[40.81591103 24.43801944 90.18592626]
121,1,11.56,2.05,3.23,28.5,119.0,3.18,5.08,0.47,1.87,6.0,0.93,3.69,465.0,1,[0.31050963 0.24036242 0.44912794],[ 86.29107268  66.79706272 124.81330031]
122,1,12.42,4.43,2.73,26.5,102.0,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365.0,1,[0.3944931  0.18699671 0.41851019],[60.86316584 28.85021803 64.56856923]
123,1,13.05,5.8,2.13,21.5,86.0,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380.0,1,[0.32390776 0.19845575 0.47763648],[59.20102147 36.27200258 87.29820868]
124,1,11.87,4.31,2.39,21.0,82.0,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380.0,1,[0.31104848 0.16671576 0.52223576],[ 60.51581965  32.43526893 101.60321269]
125,1,12.07,2.16,2.17,21.0,85.0,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378.0,1,[0.32814178 0.147909   0.52394922],[44.32431811 19.97906311 70.77334678]
126,1,12.43,1.53,2.29,21.5,86.0,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352.0,1,[0.29854684 0.16227078 0.53918238],[43.28511098 23.52699011 78.17389352]
127,1,11.79,2.13,2.78,28.5,92.0,2.13,2.24,0.58,1.76,3.0,0.97,2.44,466.0,1,[0.48753418 0.16331752 0.3491483 ],[82.14749755 27.5183286  58.83004717]
128,1,12.37,1.63,2.3,24.5,88.0,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342.0,1,[0.35097876 0.14802868 0.50099255],[49.52785775 20.88885265 70.69683624]
129,1,12.04,4.3,2.38,22.0,80.0,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580.0,1,[0.51046289 0.19194584 0.29759126],[65.08468939 24.47334731 37.94327723]
130,2,12.86,1.35,2.32,18.0,122.0,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630.0,2,[0.53477328 0.25973163 0.20549509],[75.91201609 36.86936597 29.17039272]
131,2,12.88,2.99,2.4,20.0,104.0,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530.0,2,[0.58032137 0.27384323 0.1458354 ],[78.96427926 37.26182447 19.84380971]
132,2,12.81,2.31,2.4,24.0,98.0,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560.0,2,[0.59720209 0.26635618 0.13644173],[89.1721575  39.77138613 20.37300873]
133,2,12.7,3.55,2.36,21.5,106.0,1.7,1.2,0.17,0.84,5.0,0.78,1.29,600.0,2,[0.57076929 0.26450797 0.16472274],[78.6892949  36.46647699 22.70955431]
134,2,12.51,1.24,2.25,17.5,85.0,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650.0,2,[0.61668118 0.22959779 0.15372103],[97.02147897 36.12225846 24.18468822]
135,2,12.6,2.46,2.2,18.5,94.0,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695.0,2,[0.61012426 0.2766633  0.11321244],[103.997206    47.15795144  19.29734413]
136,2,12.25,4.72,2.54,21.0,89.0,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720.0,2,[0.63982954 0.23277975 0.12739071],[115.47425686  42.01129712  22.9910407 ]
137,2,12.53,5.51,2.64,25.0,96.0,1.79,0.6,0.63,1.1,5.0,0.82,1.69,515.0,2,[0.67455002 0.20317922 0.12227075],[138.54705244  41.73134888  25.11341206]
138,2,13.49,3.59,2.19,19.5,88.0,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580.0,2,[0.65919739 0.22736109 0.11344151],[111.29597721  38.38664304  19.15296402]
139,2,12.84,2.96,2.61,24.0,101.0,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590.0,2,[0.57796    0.24276135 0.17927865],[76.31805542 32.05598019 23.67326096]
