index,true_label,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,label,description_lengths,description_lengths_unnormalized
12,2,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,1,[0.16605412 0.12354196 0.14829916 0.15052112 0.18718894 0.2243947 ],[28.01172646 20.84033467 25.01663598 25.39145896 31.5769663  37.85321876]
13,2,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,1,[0.187254   0.11457606 0.13829283 0.1491078  0.19083639 0.21993291],[56.10602537 34.32988154 41.43602365 44.67646177 57.17939922 65.89745352]
14,2,8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,2,[0.18195103 0.15325922 0.09497977 0.12499415 0.18430475 0.26051109],[69.41320601 58.4674563  36.23420339 47.68450534 70.31113649 99.38339086]
15,2,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,2,[0.18457935 0.15318204 0.09169103 0.12342253 0.17834054 0.26878451],"[ 70.19462562  58.25438098  34.86965182  46.93698592  67.82203755
 102.2174391 ]"
16,4,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,2,[0.3011454  0.16010476 0.12461521 0.13458476 0.1456432  0.13390666],[60.77362076 32.31045943 25.14837598 27.16031232 29.39199607 27.02346711]
17,2,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,2,[0.17055483 0.15376907 0.10213804 0.16418491 0.17492552 0.23442764],[64.39291194 58.05545477 38.56217941 61.98795278 66.0430652  88.50806954]
18,1,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,0,[0.13086468 0.13870508 0.13218686 0.14717904 0.19262941 0.25843493],[20.34297103 21.56176492 20.54850425 22.87904594 29.94432573 40.17382132]
19,3,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,3,[0.19794072 0.2066613  0.12322198 0.12166038 0.14696148 0.20355413],[58.6716538  61.25652368 36.52425385 36.0613822  43.56088528 60.33552715]
20,3,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,3,[0.20122012 0.15277428 0.1380714  0.13801667 0.15408404 0.21583349],[33.81297822 25.67215076 23.20148242 23.19228646 25.8922431  36.26860487]
21,2,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,2,[0.34012005 0.13183736 0.11515234 0.11885798 0.14171389 0.15231837],[60.22074747 23.34277025 20.38856534 21.04467647 25.09148327 26.96908394]
22,2,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,3,[0.19795789 0.1637221  0.14605568 0.14030891 0.15575187 0.19620355],[28.9746417  23.96362751 21.3778349  20.53669263 22.79704373 28.71786239]
23,2,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,2,[0.27344788 0.13178259 0.11763056 0.13058821 0.1563277  0.19022304],[43.41093465 20.92100894 18.67431789 20.73139573 24.81764224 30.1986618 ]
24,3,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,2,[0.20277641 0.14521699 0.1446123  0.14469211 0.16221854 0.20048365],[26.36070224 18.87804283 18.79943325 18.80980884 21.08822552 26.06264506]
25,2,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,1,[0.16372162 0.14783114 0.1591174  0.15914295 0.17339246 0.19679443],[22.61323114 20.41843721 21.97729628 21.98082558 23.94896694 27.18124759]
26,2,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,1,[0.15758358 0.15724231 0.16065137 0.16373369 0.17287994 0.18790911],[19.79094648 19.7480874  20.17623118 20.5633398  21.71201966 23.59953563]
27,2,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,3,[0.21393445 0.16257532 0.13857691 0.13782294 0.15007728 0.1970131 ],[32.32914754 24.56790623 20.94133667 20.82739865 22.67923893 29.77204246]
28,2,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,1,[0.14219349 0.12326437 0.13092172 0.14876359 0.20226159 0.25259522],[21.20837222 18.38506602 19.52717129 22.18831256 30.16761957 37.6749557 ]
29,3,7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,1,[0.14687717 0.1320269  0.14877204 0.16450509 0.19626488 0.21155392],[19.53820395 17.56275974 19.7902663  21.88314196 26.10795927 28.14176985]
30,2,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,1,[0.30696018 0.1118108  0.11270922 0.12612458 0.16344819 0.17894703],[53.72627401 19.5698923  19.72714091 22.07518792 28.60782313 31.32053494]
31,3,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,1,[0.16695765 0.12335624 0.13350061 0.13715985 0.1741914  0.26483425],[25.74746364 19.02344925 20.58786925 21.15218013 26.8630211  40.84155691]
32,2,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,2,[0.29533943 0.12384519 0.1026821  0.12808123 0.17012233 0.17992973],[56.49828515 23.69152307 19.64303516 24.501875   32.54431627 34.42046747]
33,3,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,2,[0.23296955 0.1607869  0.13105257 0.159689   0.15675585 0.15874613],[85.78939758 59.20864731 48.25918604 58.8043525  57.72423991 58.45714635]
34,2,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,3,[0.19483855 0.14275786 0.13744861 0.13204246 0.1645663  0.22834622],[32.64861682 23.92158418 23.03192637 22.12603052 27.57597052 38.26341582]
35,3,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,0,[0.12481387 0.14929883 0.1511726  0.16347347 0.18542119 0.22582005],[19.75852099 23.6345849  23.93121005 25.87848584 29.35289445 35.748191  ]
36,3,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,1,[0.15487269 0.14899659 0.16725842 0.16319321 0.17126852 0.19441058],[19.7743053  19.02403908 21.35572814 20.83667809 21.86774167 24.8225451 ]
37,4,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,3,[0.26868245 0.16062887 0.14395202 0.13672238 0.15007837 0.13993591],[35.47102512 21.20596564 19.00431506 18.04986883 19.81310512 18.47411402]
38,1,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,0,[0.09235429 0.10860637 0.132107   0.15149689 0.21402748 0.30140798],[25.77732687 30.31350147 36.87284471 42.28482578 59.73795519 84.1270316 ]
39,2,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,2,[0.30865643 0.15248065 0.13099487 0.13475265 0.13549699 0.13761841],[57.12134638 28.21875422 24.24249833 24.93793042 25.07568267 25.46828116]
40,2,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,4,[0.2997992  0.1634616  0.13417682 0.13772618 0.12429216 0.14054404],[56.8132002  30.97665679 25.42706759 26.09968661 23.55388346 26.63368241]
41,1,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,2,[0.18501528 0.13293566 0.12506057 0.13920308 0.17624652 0.24153889],[25.99124578 18.67501613 17.56871131 19.55547437 24.75939658 33.93177346]
42,3,7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,0,[0.10489896 0.22067574 0.12092111 0.1543227  0.19654885 0.20263264],[27.51532047 57.88392477 31.71797883 40.47931965 51.5553676  53.15116447]
43,2,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,1,[0.2957645  0.11723152 0.14379328 0.13770004 0.15951116 0.1459995 ],[56.24155487 22.29233998 27.34323201 26.18456289 30.33209102 27.76275974]
44,2,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,0,[0.11857644 0.12614515 0.15086983 0.16376744 0.20079275 0.23984839],[17.65585807 18.78282779 22.46429633 24.38473176 29.89774568 35.71307412]
45,1,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,5,[0.27592962 0.14491321 0.17804179 0.13554451 0.13871271 0.12685816],[78.71271048 41.33848109 50.78886356 38.66593279 39.56970512 36.18803098]
46,2,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,2,[0.25216383 0.12847499 0.10582679 0.13537163 0.18049649 0.19766627],[58.16743056 29.63573428 24.41140188 31.22660233 41.63569832 45.5963047 ]
47,2,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,2,[0.19212778 0.14241276 0.14212169 0.14667936 0.15775865 0.21889975],[29.4399551  21.8220679  21.77746701 22.47584353 24.17353522 33.54225499]
48,2,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,1,[0.15764153 0.1494968  0.16078033 0.15940216 0.18380963 0.18886955],[21.628184   20.51073881 22.05882241 21.86973987 25.21840749 25.91262155]
49,2,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,2,[0.30013689 0.13394709 0.12326137 0.13543396 0.15355856 0.15366213],[57.38234789 25.60897637 23.56600346 25.89324677 29.35843986 29.37824188]
50,2,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,2,[0.21239786 0.15662277 0.1451459  0.15074311 0.167333   0.16775737],[30.27846477 22.32742348 20.69133336 21.48924678 23.854226   23.91472095]
51,3,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,1,[0.15227556 0.14502709 0.16208197 0.16145669 0.19535952 0.18379917],[20.21556031 19.2532785  21.51742345 21.43441428 25.9352325  24.40052183]
52,3,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,1,[0.15238489 0.14752398 0.16378185 0.16239208 0.19314704 0.18077016],[20.39864361 19.74794827 21.92427055 21.73823124 25.85517188 24.19836989]
53,2,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,2,[0.27545205 0.14214512 0.10410516 0.12806963 0.13990775 0.21032029],[59.806382   30.86266857 22.60339928 27.80658587 30.37688893 45.6649179 ]
54,3,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,2,[0.29806908 0.13684871 0.10722703 0.11435154 0.13494034 0.2085633 ],[57.09686786 26.21416723 20.53996213 21.90470233 25.84860809 39.95151406]
55,2,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,2,[0.13840216 0.13856008 0.1286313  0.14447165 0.18476284 0.26517198],[20.52337972 20.54679713 19.0744783  21.42341267 27.39811263 39.32182354]
56,2,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,4,[0.18030821 0.1758318  0.16549176 0.16240873 0.15107875 0.16488076],[27.69359802 27.00606488 25.41793448 24.94441094 23.20423579 25.32409085]
57,2,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,2,[0.24591608 0.14807168 0.10491464 0.13530269 0.16359212 0.20220279],[67.87627092 40.86985048 28.95790391 37.34543138 45.15370817 55.81079276]
58,2,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,1,[0.19726331 0.13024602 0.13205395 0.13747803 0.17587777 0.22708093],[26.65097432 17.5966999  17.84095839 18.5737701  23.76171186 30.6794405 ]
59,3,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,1,[0.1739839  0.14946794 0.15134542 0.15802946 0.17093279 0.19624049],[21.87496833 18.79258058 19.02863518 19.86901838 21.49135293 24.6732857 ]
60,2,8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,2,[0.20066818 0.15523308 0.1419685  0.1451321  0.16723411 0.18976402],[27.55694306 21.31752649 19.49595521 19.93039962 22.96557859 26.05951929]
61,2,7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,2,[0.25861546 0.14282391 0.0986808  0.12578783 0.14567444 0.22841756],[56.18294497 31.02779547 21.4379218  27.32679113 31.64705917 49.62259862]
62,4,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,1,[0.19836224 0.13567631 0.14254543 0.14540161 0.18873083 0.18928358],[25.33071419 17.32576714 18.20294856 18.56768077 24.10079017 24.1713763 ]
63,2,7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,1,[0.16276532 0.1175334  0.13504021 0.14718609 0.20017621 0.23729876],[23.41455162 16.907729   19.42616541 21.17340695 28.79628261 34.13653571]
64,2,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,0,[0.12438389 0.13086694 0.1504545  0.15375019 0.18575412 0.25479036],[20.81541359 21.9003394  25.17828148 25.72980896 31.08560787 42.63869448]
65,2,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,1,[0.14077446 0.12822942 0.14636678 0.14962355 0.16753273 0.26747306],[25.27264948 23.02049056 26.27661551 26.86129023 30.07645096 48.01831991]
66,2,7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,2,[0.19065464 0.14016872 0.13411004 0.14290254 0.18215364 0.21001042],[25.66164425 18.86636423 18.05088049 19.23432962 24.51742984 28.2668837 ]
67,2,6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,1,[0.1330265  0.13150859 0.16800301 0.16842052 0.19926997 0.19977141],[17.5108554  17.31104571 22.11496467 22.16992379 26.23077077 26.29677721]
68,2,9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,4,[0.29534726 0.16932383 0.13678801 0.13277768 0.12641118 0.13935203],[49.59883697 28.43522304 22.97135356 22.29788252 21.22873104 23.40193914]
69,3,8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,1,[0.29820113 0.12457075 0.13801746 0.12961895 0.1489603  0.16063142],[50.11133972 20.93354678 23.19320416 21.78187302 25.03209835 26.99337692]
70,3,7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,1,[0.1621681  0.12532321 0.14330276 0.14860748 0.19273436 0.2278641 ],[21.20616404 16.38808461 18.73920824 19.4328879  25.20320853 29.79700372]
71,2,7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,2,[0.28976864 0.11012786 0.10131003 0.12892733 0.17051526 0.19935088],[52.6397444  20.00596989 18.40411125 23.42110442 30.9760217  36.21433761]
72,2,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,2,[0.28951175 0.11006217 0.10253052 0.12957036 0.17126877 0.19705644],[52.55631827 19.98006052 18.61280884 23.52146725 31.09115937 35.77250716]
73,1,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,1,[0.17792536 0.1307285  0.13524046 0.14673952 0.20200387 0.2073623 ],[24.29801583 17.85267185 18.46883864 20.03918503 27.58624852 28.31801196]
74,2,9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,4,[0.30025848 0.17141112 0.12861079 0.12847924 0.12398825 0.14725213],[58.30720621 33.28633213 24.97493395 24.94938903 24.07728266 28.59489745]
75,2,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,4,[0.18086025 0.16182896 0.1667388  0.16060159 0.1574065  0.1725639 ],[26.23595658 23.47523867 24.18747067 23.29719426 22.83370753 25.03247129]
76,2,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,4,[0.18086025 0.16182896 0.1667388  0.16060159 0.1574065  0.1725639 ],[26.23595658 23.47523867 24.18747067 23.29719426 22.83370753 25.03247129]
77,3,6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,1,[0.14127334 0.11664758 0.14924956 0.1491695  0.19481569 0.24884433],[21.63182033 17.86111588 22.8531427  22.84088293 29.83024237 38.1031262 ]
78,2,6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,1,[0.2841314  0.10521983 0.11499201 0.13454469 0.17434027 0.1867718 ],[48.55042817 17.97924441 19.64904717 22.99007574 29.79007137 31.91428575]
79,1,8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,2,[0.35516734 0.11871687 0.09694551 0.11679803 0.14981034 0.16256192],"[100.40582628  33.56126506  27.40650051  33.01880914  42.35139209
  45.95626322]"
80,2,6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,1,[0.15554353 0.14532087 0.15970237 0.16136082 0.18057932 0.19749309],[21.41249329 20.00521714 21.98500842 22.21331537 24.85898034 27.18736969]
81,2,7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,2,[0.245821   0.16479616 0.11143296 0.12200065 0.18175813 0.17419109],[92.26946099 61.85660599 41.8266113  45.79321409 68.22331746 65.38301505]
82,2,7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,2,[0.30938199 0.13168267 0.109276   0.12101806 0.14402166 0.18461961],[54.43525052 23.16934908 19.22693222 21.29292732 25.34037379 32.48351608]
83,2,7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,2,[0.18264534 0.17186795 0.10157684 0.17392479 0.18751902 0.18246605],[60.38069326 56.81779664 33.58027115 57.49776747 61.99188276 60.32141974]
84,3,6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,3,[0.2575297  0.16510528 0.15233918 0.1412393  0.14172076 0.14206578],[39.24428538 25.15996589 23.21457405 21.52309153 21.59645986 21.64903595]
85,2,6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,1,[0.2154869  0.13176778 0.14003211 0.13936447 0.17451211 0.19883664],[28.71998511 17.56194298 18.6634093  18.57442612 23.25888568 26.50084757]
86,3,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,1,[0.23213438 0.09989847 0.13566765 0.15745225 0.15378318 0.22106407],[95.1082144  40.92959291 55.58465077 64.51005756 63.00679636 90.57258017]
87,2,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,1,[0.18982438 0.14950944 0.15311299 0.15145665 0.17947021 0.17662633],[23.34676225 18.38837253 18.83157817 18.62786274 22.0732881  21.72351542]
88,2,9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,2,[0.29477981 0.12903421 0.11019948 0.13393102 0.13178244 0.20027304],[89.54428703 39.19629301 33.47493111 40.68378205 40.03111581 60.83627771]
89,2,7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,1,[0.145127   0.13393739 0.15131127 0.16270827 0.19684375 0.21007232],[20.97600178 19.35870713 21.8698484  23.51711974 28.45090786 30.36290665]
90,2,7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,2,[0.22772426 0.12998531 0.09648732 0.13762226 0.16879872 0.23938213],[58.22958428 33.23752379 24.67201557 35.19030872 43.1621965  61.21052611]
91,3,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,1,[0.24701884 0.09533478 0.13997326 0.15985266 0.15542915 0.20239131],[98.60683405 38.05645058 55.87557638 63.81118119 62.0453723  80.79208169]
92,2,8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,1,[0.23133262 0.09201368 0.13365787 0.15077313 0.15226835 0.23995434],"[ 96.58593277  38.41752859  55.80479656  62.95075837  63.57504198
 100.18567312]"
93,2,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,1,[0.20337487 0.13972202 0.15052818 0.15700343 0.17419688 0.17517461],[24.78988038 17.0310727  18.34826331 19.13754696 21.2333011  21.35247902]
94,1,5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,2,[0.22773701 0.13583936 0.13577442 0.14999513 0.18370039 0.16695369],[68.34427167 40.76562632 40.74613748 45.01379828 55.1288039  50.1030913 ]
95,3,4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,1,[0.29996271 0.12816599 0.16428262 0.13843678 0.13346426 0.13568765],[86.23072734 36.84406742 47.22657096 39.79662904 38.36716932 39.00633047]
96,2,6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,1,[0.14427579 0.12695365 0.15175045 0.15645308 0.19950493 0.22106209],[21.1881341  18.64422994 22.2858521  22.97647277 29.29900566 32.46485951]
97,2,7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,2,[0.1819358  0.15210657 0.1516294  0.15835139 0.17086809 0.18510875],[23.61704777 19.74492154 19.68298052 20.55555946 22.18034967 24.02892648]
98,2,7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,0,[0.11366695 0.12420954 0.15357065 0.17367663 0.2240204  0.21085583],[16.58286312 18.12092111 22.40441087 25.33767115 32.68232039 30.76174125]
99,3,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,2,[0.23485591 0.13361297 0.13218766 0.14003859 0.16548637 0.19381851],[32.45659717 18.46503349 18.26805949 19.35304087 22.86987071 26.78531371]
100,3,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,2,[0.18551651 0.14711612 0.13847327 0.1523994  0.18187429 0.19462041],[22.72822992 18.02367362 16.96481043 18.67094624 22.28200994 23.84357934]
101,3,7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,1,[0.19396322 0.15202107 0.15401451 0.15583354 0.1643089  0.17985877],[23.86050526 18.7009656  18.94619095 19.16996003 20.21256068 22.12543764]
102,3,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,1,[0.20128412 0.13510364 0.13877405 0.14384674 0.19274634 0.18824511],[26.9599162  18.09572907 18.5873418  19.26677643 25.81636858 25.2134757 ]
103,2,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,2,[0.25308609 0.11722488 0.1111879  0.13207272 0.16839474 0.21803368],[39.48903238 18.29060181 17.34865219 20.60731092 26.27463767 34.01980285]
104,2,7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,1,[0.19514299 0.13163481 0.13874828 0.13848426 0.17056296 0.22542671],[28.06145181 18.92901129 19.95192368 19.91395756 24.52685693 32.41623269]
105,2,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,2,[0.30741249 0.11353451 0.10805428 0.11573667 0.15411245 0.2011496 ],[51.95739976 19.18906332 18.26282117 19.56126196 26.04735483 33.99735073]
106,2,7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,2,[0.22935389 0.14941874 0.14122005 0.14404782 0.15509975 0.18085975],"[104.7957389   68.27199377  64.52586825  65.8179281   70.86774402
  82.63793193]"
107,2,6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,2,[0.31967142 0.12390342 0.11139004 0.11628435 0.14816832 0.18058243],[58.94702239 22.84764035 20.54018813 21.44269377 27.32205891 33.29918156]
108,3,8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,2,[0.3250519  0.15203405 0.11432236 0.12694327 0.13535342 0.146295  ],[59.36755396 27.76753362 20.87986273 23.18494871 24.72097957 26.71935234]
