index,true_label,b,g,r,label,description_lengths,description_lengths_unnormalized,is_error,L_0,L_1,r_min,r_med,relative_position,pseudo_probability,normalized_entropy,description_length_margin,description_length_true_cost,kullback_leibler_divergence
46146,0,193,138,97,0,[0.41320608 0.58679392],[5.23608458 7.43576329],0,5.23608458,7.43576329,0.7041758021449637,0.7041758021449637,0.0,0.0997793447778812,0.46829574212146513,0.8264121592688903,0.41320607959498756,0.5378398590216612
47556,0,216,154,115,0,[0.3190999 0.6809001],[3.97900189 8.49045325],0,3.97900189,8.49045325,0.4686442257404051,0.4686442257404051,0.0,0.010863203795112075,0.0864628124894376,0.6381998003131515,0.31909990011647776,0.5039394216351551
49423,0,227,172,152,0,[0.36931031 0.63068969],[5.02803686 8.58663005],0,5.02803686,8.58663005,0.5855657959101702,0.5855657959101702,0.0,0.027690273446670077,0.18267302890801973,0.7386206204483177,0.3693103101874337,0.5101266438124371
50656,0,193,139,101,0,[0.42654035 0.57345965],[5.57097974 7.48987075],0,5.57097974,7.48987075,0.7438018525561604,0.7438018525561604,0.0,0.12798528415101995,0.5518868153226514,0.8530807001180916,0.42654035002076346,0.5492338421148563
51152,1,2,28,29,1,[0.81576818 0.18423182],[50.47813694 11.39990447],0,50.47813694,11.39990447,0.22583845523705579,0.22583845523705579,0.0,0.0,6.020724103932109e-16,0.36846364915724195,0.18423182457054063,0.500000006259481
52983,1,135,176,180,1,[0.70457781 0.29542219],[16.1142045   6.75651917],0,16.1142045,6.75651917,0.4192896502946025,0.4192896502946025,0.0,8.629217587674543e-05,0.001289467737488282,0.5908443709690956,0.2954221854626858,0.5000311202064975
53329,1,134,178,179,1,[0.57263852 0.42736148],[8.99769449 6.71500065],0,8.99769449,6.71500065,0.7463023618680008,0.7463023618680008,0.0,0.09256642776836521,0.44497869567205356,0.8547229600322581,0.4273614799843077,0.5349767866313635
53620,1,115,166,167,1,[0.66273736 0.33726264],[12.47672782  6.34932393],0,12.47672782,6.34932393,0.5088933589873812,0.5088933589873812,0.0,0.0021774871482523883,0.022393807495647233,0.6745252817190133,0.3372626408329477,0.500786212506235
53809,1,119,167,169,1,[0.84893312 0.15106688],[35.95441961  6.39805626],0,35.95441961,6.39805626,0.17794909024320782,0.17794909024320782,0.0,1.4588330543574557e-13,6.428438242333943e-12,0.3021337538795902,0.15106687692798945,0.5000000028252453
55548,1,130,174,177,1,[0.61416328 0.38583672],[10.58066611  6.64710767],0,10.58066611,6.64710767,0.6282314932033867,0.6282314932033867,0.0,0.019198114057578874,0.13691420392474937,0.7716734332593684,0.38583671660066127,0.5069911233742466
55642,1,87,145,147,1,[0.65508738 0.34491262],[11.62842011  6.12252497],0,11.62842011,6.12252497,0.5265139126000742,0.5265139126000742,0.0,0.004046311071263631,0.03799060966049948,0.6898252394519928,0.3449126196978289,0.5014623487889125
64168,1,132,177,180,1,[0.5793525 0.4206475],[9.22461262 6.69766732],0,9.22461262,6.69766732,0.7260648869690893,0.7260648869690893,0.0,0.0739906704121358,0.3806426011899025,0.8412950086693869,0.4206475043032909,0.527696953105102
66350,1,207,49,74,1,[0.53257643 0.46742357],[10.97959234  9.63640126],0,10.97959234,9.63640126,0.8776647584642778,0.8776647584642778,0.0,0.20698577640932891,0.7356815167509346,0.9348471334442572,0.4674235666978756,0.5828736639733277
66958,1,133,178,181,1,[0.5971229 0.4028771],[10.08026987  6.80112917],0,10.08026987,6.80112917,0.6746971318264223,0.6746971318264223,0.0,0.03629375972762605,0.22503316714931668,0.8057542095867811,0.40287710476377214,0.5133304954991104
67237,1,143,183,185,1,[0.60452444 0.39547556],[10.78996795  7.05871988],0,10.78996795,7.05871988,0.6541928495112729,0.6541928495112729,0.0,0.023402126725567962,0.16013834899870674,0.790951127313713,0.39547556362884323,0.5085400275715957
67998,1,255,254,255,1,[0.53296891 0.46703109],[17.1700143  15.04577541],0,17.1700143,15.04577541,0.8762820546470784,0.8762820546470784,0.0,0.10676315531552183,0.4900747855406361,0.9340621816489358,0.46703109080894767,0.5406315309647652
68497,1,32,83,84,1,[0.79448606 0.20551394],[29.76899648  7.70050495],0,29.76899648,7.70050495,0.2586753287069933,0.2586753287069933,0.0,2.604809701267641e-10,8.669012629976586e-09,0.4110278843544509,0.20551394216388127,0.5000000002184625
71893,1,113,164,167,1,[0.66814864 0.33185136],[12.76491286  6.33998697],0,12.76491286,6.33998697,0.49667295335561945,0.49667295335561945,0.0,0.001618031112509244,0.017334084086507735,0.663702717793119,0.3318513588703882,0.5005840482184593
74352,1,158,198,198,1,[0.53678654 0.46321346],[9.15853654 7.90324844],0,9.15853654,7.90324844,0.8629379164039522,0.8629379164039522,0.0,0.22178608588879423,0.7634154583610084,0.9264269183208036,0.4632134591310965,0.5894667257579902
78360,1,53,103,102,1,[0.69937511 0.30062489],[15.98208204  6.86986363],0,15.98208204,6.86986363,0.4298478516363662,0.4298478516363662,0.0,0.00011029756438862837,0.0016091231048446166,0.601249777975634,0.30062488896593703,0.5000397790827927
79567,1,23,69,67,1,[0.78977487 0.21022513],[32.67454805  8.69742934],0,32.67454805,8.69742934,0.2661836156516882,0.2661836156516882,0.0,3.8625103115919046e-11,1.3918310753313159e-09,0.4204502607309277,0.21022513035337845,0.5000000008268367
82527,1,110,132,254,1,[0.66538235 0.33461765],[16.56741583  8.33167527],0,16.56741583,8.33167527,0.5028952828243887,0.5028952828243887,0.0,0.0002649404337525807,0.0035302115901068823,0.6692352935055835,0.33461764673271077,0.5000955648574174
83908,1,158,198,198,1,[0.56013111 0.43986889],[9.95453684 7.81726113],0,9.95453684,7.81726113,0.7852963181373595,0.7852963181373595,0.0,0.10552626032463475,0.48627254944562476,0.8797377894185157,0.4398688946811233,0.5401356951906846
84176,1,154,100,188,1,[0.6015542 0.3984458],[10.68319743  7.07612917],0,10.68319743,7.07612917,0.6623606102669993,0.6623606102669993,0.0,0.026414610237346037,0.17607955325541577,0.7968916085029434,0.39844580422331743,0.5096539377206252
84531,1,17,62,59,1,[0.7647564 0.2352436],[30.46793726  9.37211827],0,30.46793726,9.37211827,0.3076059330736719,0.3076059330736719,0.0,6.889731007930777e-10,2.1962757279272363e-08,0.4704872091961543,0.23524360458552696,0.5000000000221909
86725,1,40,94,94,1,[0.7106003 0.2893997],[18.03028979  7.3430316 ],0,18.03028979,7.3430316,0.40726087517824294,0.40726087517824294,0.0,2.2833517772213874e-05,0.00038499973093287794,0.5787994001529967,0.2893997000567926,0.5000082315643385
86816,1,40,82,80,1,[0.81147542 0.18852458],[32.47225779  7.54405959],0,32.47225779,7.54405959,0.23232322305875847,0.23232322305875847,0.0,1.4921841540171954e-11,5.58171947787041e-10,0.37704916815168843,0.1885245840633493,0.5000000011613169
86989,1,153,96,177,1,[0.54145675 0.45854325],[8.1454063  6.89809693],0,8.1454063,6.89809693,0.8468695943568992,0.8468695943568992,0.0,0.22316624724590728,0.7659069784061344,0.9170865089835138,0.45854325445852,0.5900863076738826
88382,1,147,191,190,1,[0.56262768 0.43737232],[9.40384097 7.3103047 ],0,9.40384097,7.3103047,0.7773743433713795,0.7773743433713795,0.0,0.10972665071762411,0.49909090277820983,0.8747446437760558,0.4373723218581131,0.5418219797596823
89462,1,162,200,201,1,[0.55523214 0.44476786],[9.98676742 7.99988468],0,9.98676742,7.99988468,0.8010484617052344,0.8010484617052344,0.0,0.12058704404321152,0.5310459539521929,0.8895357107680125,0.44476785535620783,0.5462145354165233
89544,1,57,116,114,1,[0.77058776 0.22941224],[21.69914081  6.4600671 ],0,21.69914081,6.4600671,0.297710732248218,0.297710732248218,0.0,2.408542275622594e-07,5.642740375448886e-06,0.45882448973122325,0.22941224484785544,0.5000000845311325
90202,1,21,63,61,1,[0.78946199 0.21053801],[34.00173884  9.06776843],0,34.00173884,9.06776843,0.2666854325422292,0.2666854325422292,0.0,1.4835910278065967e-11,5.550828212153773e-10,0.4210760236212687,0.2105380117990252,0.5000000011633678
90820,1,2,15,21,1,[0.80213408 0.19786592],[50.8496048  12.54329446],0,50.8496048,12.54329446,0.24667437454210708,0.24667437454210708,0.0,0.0,1.2771022163103822e-15,0.3957318439990256,0.1978659219916255,0.5000000059810691
90828,1,1,15,18,1,[0.79615655 0.20384345],[49.52366834 12.67976195],0,49.52366834,12.67976195,0.2560343846641625,0.2560343846641625,0.0,0.0,5.301941991326656e-15,0.40768690379876327,0.20384345189134354,0.5000000054536183
91010,1,32,34,33,1,[0.82879356 0.17120644],[49.6517528  10.25671556],0,49.6517528,10.25671556,0.20657308113790152,0.20657308113790152,0.0,0.0,4.4214912120457084e-16,0.3424128788836489,0.17120643943347835,0.5000000063737443
91809,1,28,70,69,1,[0.84109617 0.15890383],[44.24509651  8.35899126],0,44.24509651,8.35899126,0.1889246926588086,0.1889246926588086,0.0,2.220446049250313e-16,1.3777811337511867e-14,0.31780766912598046,0.15890383455348522,0.5000000051081646
92819,1,73,127,201,1,[0.68657168 0.31342832],[15.20110752  6.93949045],0,15.20110752,6.93949045,0.456512161394375,0.456512161394375,0.0,0.0002581743883031118,0.0034496939743242933,0.6268566422270456,0.3134283210909399,0.5000931238933284
94286,1,129,177,179,1,[0.60857617 0.39142383],[10.41253079  6.69712842],0,10.41253079,6.69712842,0.6431796990015739,0.6431796990015739,0.0,0.023767019803738076,0.16209840649080737,0.7828476696010799,0.39142383477131665,0.5086747738572187
95101,1,41,92,95,1,[0.82851239 0.17148761],[34.73263803  7.1890503 ],0,34.73263803,7.1890503,0.20698255898626364,0.20698255898626364,0.0,1.0913492332065289e-12,4.4942233536243896e-11,0.3429752277025485,0.17148761383934732,0.500000002099631
95962,1,129,177,179,1,[0.61773078 0.38226922],[10.92995262  6.76376276],0,10.92995262,6.76376276,0.6188281865929234,0.6188281865929234,0.0,0.015274323881195095,0.11401317557162488,0.7645384380674638,0.3822692190054732,0.5055513202671712
98611,1,8,37,35,1,[0.77004224 0.22995776],[36.68526921 10.95532405],0,36.68526921,10.95532405,0.2986300573941289,0.2986300573941289,0.0,6.693090526255219e-12,2.5810677233117517e-10,0.4599155174445887,0.2299577587117991,0.5000000014475181
99103,1,10,14,15,1,[0.79915961 0.20084039],[49.91051207 12.54323511],0,49.91051207,12.54323511,0.251314494472761,0.251314494472761,0.0,0.0,3.1861322754022918e-15,0.4016807854346317,0.20084039270930995,0.5000000056423843
99592,1,62,120,121,1,[0.68673129 0.31326871],[14.09910945  6.43164207],0,14.09910945,6.43164207,0.45617363936016725,0.45617363936016725,0.0,0.0004675823515492006,0.005847046976235914,0.6265374225508848,0.31326871125108874,0.5001686790489239
101251,1,111,162,165,1,[0.85068571 0.14931429],[35.7958776   6.28297358],0,35.7958776,6.28297358,0.17552226683847189,0.17552226683847189,0.0,1.5232259897857148e-13,6.7045332089272334e-12,0.2986285701324931,0.14931428505436412,0.500000002809573
101396,1,13,48,44,1,[0.76766937 0.23233063],[33.71455527 10.20351226],0,33.71455527,10.20351226,0.30264413034617965,0.30264413034617965,0.0,6.155786991257628e-11,2.1768077772680177e-09,0.46466125829866034,0.23233062913794536,0.5000000006670067
101637,1,185,180,186,0,[0.44731542 0.55268458],[5.9020988  7.29239106],1,5.9020988,7.29239106,1.0,1.0,0.9999999992807267,0.8006388966965339,0.720648459013187,0.8946308440382075,0.5526845779430016,0.9110516805093501
104290,1,36,90,92,1,[0.7528965 0.2471035],[23.49357485  7.71068088],0,23.49357485,7.71068088,0.32820381440042085,0.32820381440042085,0.0,1.3982221558350716e-07,3.3854590950711164e-06,0.4942070047733772,0.24710350237066514,0.5000000482876715
105040,1,121,171,172,1,[0.60933197 0.39066803],[10.05703185  6.44798064],0,10.05703185,6.44798064,0.6411415152631598,0.6411415152631598,0.0,0.026363662814142486,0.17581435513383217,0.7813360509743343,0.39066802545687335,0.509635071290682
107361,1,78,215,233,1,[0.70284085 0.29715915],[21.22105925  8.97220461],0,21.22105925,8.97220461,0.42279720837107615,0.42279720837107615,0.0,4.790578264413092e-06,9.156740192682248e-05,0.5943182990620108,0.2971591495144454,0.5000017244228434
110779,1,164,199,237,1,[0.59102102 0.40897898],[13.05688954  9.03520045],0,13.05688954,9.03520045,0.6919872012111709,0.6919872012111709,0.0,0.01760710017955458,0.1277856046898571,0.8179579618026914,0.4089789808787132,0.5064066332488001
118317,1,231,119,107,0,[0.39938951 0.60061049],[5.89244038 8.86117783],1,5.89244038,8.86117783,1.0,1.0,0.9999999996631564,0.9511416381672871,0.28152742345336057,0.7987790244032091,0.6006104877645054,0.9873235350537893
118738,1,15,51,49,1,[0.83275993 0.16724007],[48.38904104  9.71779043],0,48.38904104,9.71779043,0.2008262660499125,0.2008262660499125,0.0,0.0,8.950597082202028e-16,0.3344801354501651,0.16724006771647776,0.5000000061126935
121855,1,164,199,201,1,[0.51943436 0.48056564],[8.60475668 7.96087182],0,8.60475668,7.96087182,0.925171055397563,0.925171055397563,0.0,0.3443688902248464,0.9289382009357927,0.9611312749189607,0.48056563742929737,0.6477226382200576
123861,1,56,114,115,1,[0.77240169 0.22759831],[22.00144885  6.48301614],0,22.00144885,6.48301614,0.2946631462275421,0.2946631462275421,0.0,1.8215044106373313e-07,4.340838283020635e-06,0.45519662332070376,0.22759831164279845,0.5000000634589701
124300,1,0,0,2,1,[0.82320078 0.17679922],[66.73945143 14.33366353],0,66.73945143,14.33366353,0.21477047267640734,0.21477047267640734,0.0,0.0,1.3152529621592538e-21,0.353598441046583,0.1767992205171242,0.5000000110663806
124596,1,48,62,65,1,[0.75165881 0.24834119],[25.61282293  8.46224225],0,25.61282293,8.46224225,0.3303908465223442,0.3303908465223442,0.0,3.561208761215795e-08,9.325293218858417e-07,0.49668238082892824,0.24834119039979075,0.5000000111950982
125012,1,132,180,182,1,[0.58034888 0.41965112],[9.3643877  6.77140243],0,9.3643877,6.77140243,0.7231014612174695,0.7231014612174695,0.0,0.06959124318012988,0.3643963955320359,0.8393022437111171,0.41965112182457154,0.5259923958651137
125087,1,250,250,248,1,[0.53563503 0.46436497],[17.01408902 14.75024334],0,17.01408902,14.75024334,0.8669428802091138,0.8669428802091138,0.0,0.09416183784819954,0.45021100300240185,0.9287299460831883,0.46436497302585317,0.5356083033571476
126843,1,24,38,41,1,[0.82768852 0.17231148],[51.31756441 10.68349388],0,51.31756441,10.68349388,0.20818396201418274,0.20818396201418274,0.0,0.0,1.3210287218359286e-16,0.34462295241340424,0.1723114761986378,0.5000000068206311
127352,1,128,176,178,1,[0.64115464 0.35884536],[11.9581932   6.69283497],0,11.9581932,6.69283497,0.5596861379895011,0.5596861379895011,0.0,0.005140975324820052,0.046488412870244196,0.7176907255876129,0.3588453627669983,0.5018589830350397
127821,1,0,7,89,1,[0.75379474 0.24620526],[34.19638406 11.16926019],0,34.19638406,11.16926019,0.32662108865300243,0.32662108865300243,0.0,9.987277671541506e-11,3.4619715384957125e-09,0.492410517910976,0.24620525894446643,0.5000000005062889
128545,1,129,171,169,1,[0.6152514 0.3847486],[10.39928906  6.50321474],0,10.39928906,6.50321474,0.6253518583677727,0.6253518583677727,0.0,0.019916791203032913,0.14097309398635205,0.7694972078770071,0.3847486039089222,0.5072554482664529
132733,1,63,112,109,1,[0.7656141 0.2343859],[21.01824931  6.4345488 ],0,21.01824931,6.4345488,0.30614104461271413,0.30614104461271413,0.0,4.638516879484911e-07,1.0428558449297818e-05,0.4687718005635102,0.23438590026354197,0.5000001647241175
133981,1,128,176,178,1,[0.63465651 0.36534349],[11.3456809   6.53120333],0,11.3456809,6.53120333,0.5756554751530466,0.5756554751530466,0.0,0.008046192284560605,0.06754258132841225,0.7306869861778656,0.3653434930609637,0.5029137495797952
135867,1,157,195,196,1,[0.53673893 0.46326107],[9.01068438 7.77715027],0,9.01068438,7.77715027,0.8631031718743761,0.8631031718743761,0.0,0.22556347246304642,0.7701969033426981,0.9265221432278925,0.4632610715841628,0.5911644077403311
139900,1,92,136,135,1,[0.74778251 0.25221749],[17.71087641  5.97365234],0,17.71087641,5.97365234,0.3372872240410328,0.3372872240410328,0.0,7.99070105306221e-06,0.00014683660911708323,0.5044349755320998,0.2522174877449391,0.5000028784460072
141884,1,129,174,177,1,[0.58717377 0.41282623],[9.37734171 6.59295897],0,9.37734171,6.59295897,0.70307334137842,0.70307334137842,0.0,0.0581739608040972,0.3201531674780028,0.8256524535375465,0.41282622673746516,0.5216034059796526
147028,1,158,196,197,1,[0.58032429 0.41967571],[10.74016563  7.76701353],0,10.74016563,7.76701353,0.7231744646080309,0.7231744646080309,0.0,0.0486536157625751,0.2806498479778656,0.8393514174075056,0.41967570867673626,0.5179815786591699
147651,1,141,181,181,1,[0.59444938 0.40555062],[9.34745777 6.37710697],0,9.34745777,6.37710697,0.6822290216474303,0.6822290216474303,0.0,0.048783442032775515,0.2812064560699487,0.8111012387989888,0.405550619367697,0.5180307378227881
148263,1,92,138,138,1,[0.8548141 0.1451859],[35.57216375  6.04175398],0,35.57216375,6.04175398,0.16984499515664564,0.16984499515664564,0.0,1.496580637194711e-13,6.591935787586689e-12,0.29037179433837523,0.14518589715717242,0.500000002815886
148618,1,12,28,25,1,[0.79582115 0.20417885],[43.94517453 11.27473799],0,43.94517453,11.27473799,0.2565637322033281,0.2565637322033281,0.0,6.439293542825908e-15,3.1459862654039363e-13,0.4083576911213773,0.20417884555163401,0.5000000039483595
149414,1,90,135,132,1,[0.85484022 0.14515978],[35.62202044  6.04894853],0,35.62202044,6.04894853,0.16980924874878295,0.16980924874878295,0.0,1.4344081478157023e-13,6.325498692148422e-12,0.29031955243035656,0.14515977620317957,0.5000000028312708
154640,1,89,145,146,1,[0.73327424 0.26672576],[16.64215498  6.05352164],0,16.64215498,6.05352164,0.36374626043989966,0.36374626043989966,0.0,2.5200202178554676e-05,0.00042131920690183586,0.5334515239698787,0.26672576196290876,0.5000090851502322
157789,1,89,135,132,1,[0.70606705 0.29393295],[14.55345519  6.05854631],0,14.55345519,6.05854631,0.41629607749413794,0.41629607749413794,0.0,0.00020446507775595535,0.002800845535805231,0.5878658906759798,0.29393294531373226,0.500073747956958
158642,1,128,176,178,1,[0.62113195 0.37886805],[10.94145248  6.67389068],0,10.94145248,6.67389068,0.6099638682879913,0.6099638682879913,0.0,0.013822184564632245,0.10518058682641103,0.7577360962545259,0.3788680480988786,0.5050198989874667
159773,1,128,176,178,1,[0.62113195 0.37886805],[10.94145248  6.67389068],0,10.94145248,6.67389068,0.6099638682879913,0.6099638682879913,0.0,0.013822184564632245,0.10518058682641103,0.7577360962545259,0.3788680480988786,0.5050198989874667
160189,1,88,139,142,1,[0.73825188 0.26174812],[16.96489154  6.01492322],0,16.96489154,6.01492322,0.3545512333788518,0.3545512333788518,0.0,1.7558263249783934e-05,0.0003027074904327259,0.5234962320678213,0.26174811601215237,0.5000063289747804
160520,1,87,138,139,1,[0.70871881 0.29128119],[14.76639706  6.06894261],0,14.76639706,6.06894261,0.41099684540035003,0.41099684540035003,0.0,0.00016698251586300117,0.0023361838992604373,0.582562387398671,0.2912811936753378,0.5000602265424501
162499,1,135,179,180,1,[0.60201839 0.39798161],[10.2680259  6.7879745],0,10.2680259,6.7879745,0.6610788252237386,0.6610788252237386,0.0,0.029885189575484916,0.19381576190647654,0.7959632200878722,0.39798161001462096,0.5109413960865202
164066,1,14,50,50,1,[0.82551718 0.17448282],[45.94978304  9.71203037],0,45.94978304,9.71203037,0.2113618330109234,0.2113618330109234,0.0,2.220446049250313e-16,9.880824335757195e-15,0.3489656471946956,0.17448282358836498,0.5000000052349945
165308,1,54,54,54,1,[0.79587968 0.20412032],[35.71125962  9.15891443],0,35.71125962,9.15891443,0.25647133501317615,0.25647133501317615,0.0,2.9407587476271146e-12,1.168950122884457e-10,0.40824064645213376,0.20412032321492363,0.5000000017427829
165502,1,255,255,128,0,[0.45249019 0.54750981],[10.60223805 12.82863026],1,10.60223805,12.82863026,1.0,1.0,0.9999999995508428,0.902594631292652,0.46071642847766076,0.9049803797089848,0.5475098101241682,0.9664260678324534
165789,1,123,171,171,1,[0.61530165 0.38469835],[10.38321445  6.49178413],0,10.38321445,6.49178413,0.6252191130825369,0.6252191130825369,0.0,0.020007645001935526,0.14148346471721454,0.7693967023866026,0.38469835116367174,0.5072888772305962
166200,1,156,95,100,1,[0.62153627 0.37846373],[11.37446711  6.9261013 ],0,11.37446711,6.9261013,0.6089165525215611,0.6089165525215611,0.0,0.011562414291808931,0.09098158211379791,0.7569274510989396,0.3784637255221482,0.5041944514122628
167810,1,96,146,145,1,[0.7161913 0.2838087],[15.22225014  6.03219695],0,15.22225014,6.03219695,0.396274985243655,0.396274985243655,0.0,0.00010203902352889926,0.0015000973987525264,0.5676173955194797,0.28380869773621537,0.5000368001556268
169483,1,104,154,153,1,[0.66043161 0.33956839],[11.86886111  6.10250945],0,11.86886111,6.10250945,0.5141613329980099,0.5141613329980099,0.0,0.0031213866763046827,0.03047733898158222,0.6791367892377855,0.33956839459107074,0.5011275552999355
170538,1,151,191,193,1,[0.59166305 0.40833695],[10.71439354  7.39455116],0,10.71439354,7.39455116,0.6901511627049914,0.6901511627049914,0.0,0.034896716616450996,0.21838327673767,0.8166738904549931,0.40833694519988584,0.512808378053317
179558,1,101,151,150,1,[0.63715566 0.36284434],[10.70813902  6.0980195 ],0,10.70813902,6.0980195,0.5694751896703079,0.5694751896703079,0.0,0.009852589475655593,0.0798143078107118,0.7256886804774891,0.3628443402089936,0.5035711253748006
181525,1,131,131,131,1,[0.588011 0.411989],[8.72466986 6.11292644],0,8.72466986,6.11292644,0.7006484528801816,0.7006484528801816,0.0,0.06838644727223131,0.35987313186522996,0.8239779970409372,0.4119889984867704,0.525526896689425
181647,1,114,162,164,1,[0.69451278 0.30548722],[13.21568034  5.81302691],0,13.21568034,5.81302691,0.43985831678796045,0.43985831678796045,0.0,0.0006092615686799085,0.007386020781083349,0.6109744433841676,0.3054872216658077,0.5002198064498962
183654,1,85,104,162,1,[0.74708466 0.25291534],[18.63810839  6.309678  ],0,18.63810839,6.309678,0.33853639369576943,0.33853639369576943,0.0,4.424139267933391e-06,8.507117052412404e-05,0.5058306898744522,0.25291534491718426,0.5000015922860046
185057,1,162,197,199,1,[0.56916573 0.43083427],[10.35900581  7.84132728],0,10.35900581,7.84132728,0.7569575134008968,0.7569575134008968,0.0,0.07462810475648485,0.3829621725618453,0.8616685465363827,0.4308342732407193,0.5279445456127466
185074,1,145,189,190,1,[0.56082331 0.43917669],[9.23826418 7.23441818],0,9.23826418,7.23441818,0.7830928016627585,0.7830928016627585,0.0,0.11879970771539816,0.5259007918237251,0.8783533879859046,0.439176693962599,0.5454883971648381
186349,1,181,2,0,1,[0.72511521 0.27488479],[35.20025026 13.34410477],0,35.20025026,13.34410477,0.3790911902914667,0.3790911902914667,0.0,3.2210434319779324e-10,1.0621213691923415e-08,0.549769577203305,0.2748847885913526,0.5000000001641008
187384,1,109,158,155,1,[0.64489724 0.35510276],[11.15174179  6.14053532],0,11.15174179,6.14053532,0.5506346394206967,0.5506346394206967,0.0,0.0066187600435957394,0.057431863535219174,0.7102055190399267,0.3551027594910487,0.5023951239540778
