index,true_label,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,label,description_lengths,description_lengths_unnormalized,is_error,L_0,L_1,L_2,L_3,L_4,L_5,r_min,r_med,relative_position,pseudo_probability,normalized_entropy,description_length_margin,description_length_true_cost,kullback_leibler_divergence
33,3,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,2,[0.23296955 0.1607869  0.13105257 0.159689   0.15675585 0.15874613],[85.78939758 59.20864731 48.25918604 58.8043525  57.72423991 58.45714635],1,85.78939758,59.20864731,48.25918604,58.8043525,57.72423991,58.45714635,1.0,0.9501779873670884,0.28097807145264553,0.9999736837804345,0.0009721169430937604,0.9742967153508937,0.15968900247937903,0.9999997529532711
34,2,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,3,[0.19483855 0.14275786 0.13744861 0.13204246 0.1645663  0.22834622],[32.64861682 23.92158418 23.03192637 22.12603052 27.57597052 38.26341582],1,32.64861682,23.92158418,23.03192637,22.12603052,27.57597052,38.26341582,1.0,0.7967560768139662,0.05613647025852843,0.7433028268288744,0.49721931701299976,0.9945938465938775,0.13744861199522845,0.87673416797279
35,3,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,0,[0.12481387 0.14929883 0.1511726  0.16347347 0.18542119 0.22582005],[19.75852099 23.6345849  23.93121005 25.87848584 29.35289445 35.748191  ],1,19.75852099,23.6345849,23.93121005,25.87848584,29.35289445,35.748191,1.0,0.9770967490900541,0.3827449125460254,0.9978827884135386,0.10637128679258287,0.9755150427585901,0.16347347050447114,0.9998613776612586
36,3,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,1,[0.15487269 0.14899659 0.16725842 0.16319321 0.17126852 0.19441058],[19.7743053  19.02403908 21.35572814 20.83667809 21.86774167 24.8225451 ],1,19.7743053,19.02403908,21.35572814,20.83667809,21.86774167,24.8225451,1.0,0.9750949056875058,0.31260448871404195,0.9090091124465117,0.6558565972127343,0.9941239025356505,0.16319320799237705,0.9694727892434647
37,4,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,3,[0.26868245 0.16062887 0.14395202 0.13672238 0.15007837 0.13993591],[35.47102512 21.20596564 19.00431506 18.04986883 19.81310512 18.47411402],1,35.47102512,21.20596564,19.00431506,18.04986883,19.81310512,18.47411402,1.0,0.8828953320278957,0.10121235700703228,0.9238966429204944,0.7213755303649518,0.9967864690834549,0.15007836825652024,0.9762444297738111
38,1,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,0,[0.09235429 0.10860637 0.132107   0.15149689 0.21402748 0.30140798],[25.77732687 30.31350147 36.87284471 42.28482578 59.73795519 84.1270316 ],1,25.77732687,30.31350147,36.87284471,42.28482578,59.73795519,84.1270316,1.0,0.6091942001715519,0.07774117488532933,0.9893994247392448,0.03288734979388011,0.983747920348931,0.10860636634075722,0.9985857117883115
39,2,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,2,[0.30865643 0.15248065 0.13099487 0.13475265 0.13549699 0.13761841],[57.12134638 28.21875422 24.24249833 24.93793042 25.07568267 25.46828116],0,57.12134638,28.21875422,24.24249833,24.93793042,25.07568267,25.46828116,0.9721134801781954,0.7537059328189989,0.0,0.5547254400067756,0.73571034136867,0.9962422176288575,0.13099486515919578,0.762644468442332
40,2,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,4,[0.2997992  0.1634616  0.13417682 0.13772618 0.12429216 0.14054404],[56.8132002  30.97665679 25.42706759 26.09968661 23.55388346 26.63368241],1,56.8132002,30.97665679,25.42706759,26.09968661,23.55388346,26.63368241,1.0,0.7748511560009611,0.056320583630356275,0.8798431697240392,0.4136507164963941,0.9901153412075079,0.13417681860287023,0.9550841765330434
41,1,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,2,[0.18501528 0.13293566 0.12506057 0.13920308 0.17624652 0.24153889],[25.99124578 18.67501613 17.56871131 19.55547437 24.75939658 33.93177346],1,25.99124578,18.67501613,17.56871131,19.55547437,24.75939658,33.93177346,1.0,0.7665847293684414,0.0676098892610017,0.7748104067253117,0.45992489104881373,0.9921249140018739,0.13293565695586776,0.895742372900815
42,3,7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,0,[0.10489896 0.22067574 0.12092111 0.1543227  0.19654885 0.20263264],[27.51532047 57.88392477 31.71797883 40.47931965 51.5553676  53.15116447],1,27.51532047,57.88392477,31.71797883,40.47931965,51.5553676,53.15116447,1.0,0.9124207513540571,0.4268882116381329,0.999997691347461,0.04286564499372507,0.9839778533007039,0.15432270295699257,0.9999999926201859
43,2,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,1,[0.2957645  0.11723152 0.14379328 0.13770004 0.15951116 0.1459995 ],[56.24155487 22.29233998 27.34323201 26.18456289 30.33209102 27.76275974],1,56.24155487,22.29233998,27.34323201,26.18456289,30.33209102,27.76275974,1.0,0.8397112085330632,0.14877787442851886,0.9937909446848422,0.09155553278141156,0.9795314802239219,0.14379327651061402,0.9993457786555752
44,2,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,0,[0.11857644 0.12614515 0.15086983 0.16376744 0.20079275 0.23984839],[17.65585807 18.78282779 22.46429633 24.38473176 29.89774568 35.71307412],1,17.65585807,18.78282779,22.46429633,24.38473176,29.89774568,35.71307412,1.0,0.8883786855330891,0.2662890141215157,0.9938797450984115,0.3332357097958218,0.9924312906809102,0.15086982903113463,0.9993592257756353
45,1,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,5,[0.27592962 0.14491321 0.17804179 0.13554451 0.13871271 0.12685816],[78.71271048 41.33848109 50.78886356 38.66593279 39.56970512 36.18803098],1,78.71271048,41.33848109,50.78886356,38.66593279,39.56970512,36.18803098,1.0,0.8473596375799384,0.1211167296364664,0.9948413638052668,0.2402945943179362,0.9913136455800542,0.14491320700474636,0.9994991958268135
46,2,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,2,[0.25216383 0.12847499 0.10582679 0.13537163 0.18049649 0.19766627],[58.16743056 29.63573428 24.41140188 31.22660233 41.63569832 45.5963047 ],0,58.16743056,29.63573428,24.41140188,31.22660233,41.63569832,45.5963047,0.8237151017935326,0.5917577905232135,0.0,0.00643922770715899,0.023348570174023763,0.9773517988542162,0.10582679234361202,0.5023299444816188
47,2,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,2,[0.19212778 0.14241276 0.14212169 0.14667936 0.15775865 0.21889975],[29.4399551  21.8220679  21.77746701 22.47584353 24.17353522 33.54225499],0,29.4399551,21.8220679,21.77746701,22.47584353,24.17353522,33.54225499,0.9979561565291455,0.8283324918166771,0.0,0.6071227868852074,0.655598611989789,0.9997089306081676,0.1421216948417627,0.7937778215902538
48,2,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,1,[0.15764153 0.1494968  0.16078033 0.15940216 0.18380963 0.18886955],[21.628184   20.51073881 22.05882241 21.86973987 25.21840749 25.91262155],1,21.628184,20.51073881,22.05882241,21.86973987,25.21840749,25.91262155,1.0,0.9579156448796721,0.2865822296086011,0.882525312009364,0.6736613276312513,0.9918552675509806,0.1607803302369425,0.9564607952371263
49,2,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,2,[0.30013689 0.13394709 0.12326137 0.13543396 0.15355856 0.15366213],[57.38234789 25.60897637 23.56600346 25.89324677 29.35843986 29.37824188],0,57.38234789,25.60897637,23.56600346,25.89324677,29.35843986,29.37824188,0.9202243431598659,0.7029539234989769,0.0,0.18913329731614936,0.3554887256574228,0.9893142830213977,0.12326137172828415,0.5750445653171027
50,2,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,2,[0.21239786 0.15662277 0.1451459  0.15074311 0.167333   0.16775737],[30.27846477 22.32742348 20.69133336 21.48924678 23.854226   23.91472095],0,30.27846477,22.32742348,20.69133336,21.48924678,23.854226,23.91472095,0.9628691768896487,0.8489512669757303,0.0,0.4210279880833764,0.6089768615160746,0.9944027842219018,0.14514589509283288,0.6874950576686631
51,3,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,1,[0.15227556 0.14502709 0.16208197 0.16145669 0.19535952 0.18379917],[20.21556031 19.2532785  21.51742345 21.43441428 25.9352325  24.40052183],1,20.21556031,19.2532785,21.51742345,21.43441428,25.9352325,24.40052183,1.0,0.9627212538729163,0.3264218490090737,0.929689434741009,0.5728061093542619,0.9927515239473781,0.1614566928273924,0.9787540593531329
52,3,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,1,[0.15238489 0.14752398 0.16378185 0.16239208 0.19314704 0.18077016],[20.39864361 19.74794827 21.92427055 21.73823124 25.85517188 24.19836989],1,20.39864361,19.74794827,21.92427055,21.73823124,25.85517188,24.19836989,1.0,0.9693800111640023,0.32588997828984223,0.923471524237073,0.612362680521604,0.9951390816574294,0.16239207579011944,0.9760573363306368
53,2,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,2,[0.27545205 0.14214512 0.10410516 0.12806963 0.13990775 0.21032029],[59.806382   30.86266857 22.60339928 27.80658587 30.37688893 45.6649179 ],0,59.806382,30.86266857,22.60339928,27.80658587,30.37688893,45.6649179,0.81287934393893,0.5810121421358684,0.0,0.006140663263631829,0.02230858112196415,0.9760355269035131,0.10410515643927937,0.502221579774222
54,3,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,2,[0.29806908 0.13684871 0.10722703 0.11435154 0.13494034 0.2085633 ],[57.09686786 26.21416723 20.53996213 21.90470233 25.84860809 39.95151406],1,57.09686786,26.21416723,20.53996213,21.90470233,25.84860809,39.95151406,1.0,0.6455808370347808,0.03733193968992594,0.7978784937195703,0.3048348742333212,0.9928754960936127,0.1143515354192216,0.9094308394084727
55,2,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,2,[0.13840216 0.13856008 0.1286313  0.14447165 0.18476284 0.26517198],[20.52337972 20.54679713 19.0744783  21.42341267 27.39811263 39.32182354],0,20.52337972,20.54679713,19.0744783,21.42341267,27.39811263,39.32182354,0.9294023966473002,0.7380991346457045,0.0,0.35894749520333114,0.5716840858431437,0.9902291393706537,0.1286312971152925,0.6550891742570011
56,2,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,4,[0.18030821 0.1758318  0.16549176 0.16240873 0.15107875 0.16488076],[27.69359802 27.00606488 25.41793448 24.94441094 23.20423579 25.32409085],1,27.69359802,27.00606488,25.41793448,24.94441094,23.20423579,25.32409085,1.0,0.9915525645076242,0.4930987022419222,0.924015395709387,0.5664984997430231,0.9886700217794181,0.16549175758002077,0.9762966223058965
57,2,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,2,[0.24591608 0.14807168 0.10491464 0.13530269 0.16359212 0.20220279],[67.87627092 40.86985048 28.95790391 37.34543138 45.15370817 55.81079276],0,67.87627092,40.86985048,28.95790391,37.34543138,45.15370817,55.81079276,0.7754068660921328,0.5860593876279873,0.0,0.0002344368696460819,0.0012418937230527542,0.9696119444744998,0.10491463605533544,0.5000845628492802
58,2,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,1,[0.19726331 0.13024602 0.13205395 0.13747803 0.17587777 0.22708093],[26.65097432 17.5966999  17.84095839 18.5737701  23.76171186 30.6794405 ],1,26.65097432,17.5966999,17.84095839,18.5737701,23.76171186,30.6794405,1.0,0.7607267318975455,0.018670284571822036,0.6376897269328414,0.5782621214482127,0.9981920646731195,0.13205395210084717,0.8122508207121348
