index,true_label,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,label,description_lengths,description_lengths_unnormalized
10,2,8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,4,"[0.09570225 0.10077786 0.11695444 0.09682113 0.090284   0.09249712
 0.40696319]","[ 26.95218558  28.38160524  32.93734156  27.26728989  25.42626729
  26.04953849 114.61116928]"
11,2,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,3,"[0.08164959 0.07800723 0.07833071 0.07775643 0.08047626 0.08405937
 0.51972041]","[ 23.8522984   22.78825493  22.88275241  22.71498979  23.50953304
  24.55626773 151.82594242]"
12,2,7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,4,"[0.09557745 0.09324911 0.10449143 0.09153    0.08398823 0.0849577
 0.44620607]","[ 24.84214205  24.2369688   27.15903223  23.79014302  21.82991527
  22.08189505 115.97625484]"
13,4,6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,4,"[0.11060303 0.11789022 0.12764201 0.09674804 0.0831187  0.08773322
 0.37626477]","[29.34338867 31.27670796 33.86389228 25.66760942 22.05169554 23.27594546
 99.8244223 ]"
14,2,8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,2,"[0.08818935 0.07325192 0.0609336  0.06782992 0.08475672 0.08449026
 0.54054822]","[ 48.83026419  40.55944026  33.73881067  37.55728957  46.92962223
  46.7820821  299.30044325]"
15,4,6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,4,"[0.12559102 0.12130919 0.12686856 0.1030266  0.08711034 0.09527868
 0.34081562]","[25.12683998 24.27018002 25.38243595 20.61240361 17.42805719 19.06228679
 68.18655805]"
16,3,6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,1,"[0.11487633 0.06248793 0.07051581 0.07656332 0.08048346 0.07918961
 0.51588355]","[ 44.31285103  24.10434008  27.20104735  29.53383923  31.04600824
  30.54691288 198.99896303]"
17,5,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,1,"[0.12065981 0.10720369 0.14954935 0.13636751 0.12203753 0.10895248
 0.25522961]","[37.22650132 33.07495938 46.13963074 42.07271065 37.65156038 33.6145023
 78.74457361]"
18,3,7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,5,"[0.10414091 0.09937738 0.10124609 0.09181375 0.08699984 0.08563814
 0.4307839 ]","[ 24.65562044  23.52784236  23.97026356  21.7371334   20.59742876
  20.2750437  101.98916222]"
19,2,6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,2,"[0.14150471 0.11139596 0.0941104  0.09918725 0.10727462 0.11602699
 0.33050008]","[29.02928523 22.85256184 19.30647794 20.34798071 22.00707977 23.80260362
 67.80114316]"
20,5,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,5,"[0.14341995 0.11777112 0.164021   0.14739694 0.13156251 0.1176846
 0.17814387]","[40.43376338 33.20269934 46.24172823 41.55497932 37.09084507 33.17830807
 50.22332724]"
21,4,6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.35,11.0,4,"[0.12906213 0.12389259 0.13381159 0.11662242 0.10162417 0.10766305
 0.28732406]","[23.48756623 22.54677963 24.35190436 21.22370702 18.49422864 19.59322249
 52.28910291]"
22,5,6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,4,"[0.11653971 0.13201535 0.12195636 0.11006503 0.10375535 0.10711029
 0.30855791]","[22.03425354 24.96024594 23.05838531 20.81008092 19.61710567 20.25142618
 58.33928606]"
23,2,7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,3.05,0.51,9.3,1,"[0.0862777  0.07013886 0.08686708 0.10581345 0.12656057 0.11406495
 0.41027738]","[ 31.85940896  25.89988637  32.07704599  39.07329078  46.73449431
  42.12029141 151.50142313]"
24,3,6.6,0.27,0.41,1.3,0.052,16.0,142.0,0.9951,3.42,0.47,10.0,3,"[0.11984267 0.1255935  0.11504943 0.11258371 0.11518597 0.11767075
 0.29407396]","[22.6930533  23.78201464 21.78541966 21.31851854 21.81127546 22.28178603
 55.68497533]"
25,3,7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,3.25,0.5,10.4,2,"[0.10320032 0.10837174 0.09061935 0.09604161 0.11906231 0.12210758
 0.36059709]","[25.33233028 26.60174749 22.24411133 23.57509877 29.22593528 29.97345035
 88.51488797]"
26,3,6.9,0.24,0.35,1.0,0.052,35.0,146.0,0.993,3.45,0.44,10.0,4,"[0.12144104 0.13420359 0.11935221 0.11101465 0.1065147  0.11386682
 0.29360698]","[22.62366672 25.00124624 22.23453135 20.6812994  19.84298822 21.21263942
 54.6970489 ]"
27,3,7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,3.38,0.53,10.5,3,"[0.13755542 0.11828879 0.10282215 0.09904401 0.10180481 0.1154323
 0.32505251]","[26.54095414 22.82350908 19.83926208 19.11027846 19.64296902 22.27235648
 62.7180207 ]"
28,3,7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,4,"[0.12589689 0.11951518 0.11965211 0.10119042 0.09809792 0.10083996
 0.33480752]","[26.47851747 25.13632237 25.16512149 21.28227652 20.63186481 21.20856698
 70.41640933]"
29,4,7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,5,"[0.11446559 0.11976825 0.12780125 0.09799733 0.07767561 0.07548643
 0.38680554]","[28.14137063 29.44503046 31.41994232 24.09264829 19.09655357 18.55834313
 95.0961598 ]"
30,3,8.5,0.24,0.39,10.4,0.044,20.0,142.0,0.9974,3.2,0.53,10.0,2,"[0.1345624  0.13348022 0.11731977 0.1213378  0.13334591 0.13899888
 0.22095502]","[24.89609864 24.69587817 21.70594967 22.4493459  24.67102972 25.71691563
 40.88005215]"
31,3,8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,0,"[0.09377878 0.09717793 0.11469284 0.10753578 0.10733459 0.10774873
 0.37173134]","[ 26.32435694  27.27851994  32.19507776  30.18604275  30.1295671
  30.2458179  104.3475745 ]"
32,3,7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,10.8,4,"[0.12835284 0.12934656 0.12552084 0.1107967  0.10218478 0.10969661
 0.29410166]","[22.18943901 22.36123226 21.69984798 19.15436064 17.66554594 18.96417809
 50.84383701]"
33,3,6.2,0.12,0.34,1.5,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,4,"[0.08827647 0.08445012 0.08006375 0.07529302 0.07163303 0.07277812
 0.52750549]","[ 27.41183041  26.22366383  24.86159732  23.38017793  22.2436703
  22.5992467  163.80233377]"
34,2,5.8,0.27,0.2,14.95,0.044,22.0,179.0,0.9962,3.37,0.37,10.2,2,"[0.09323829 0.09885469 0.083673   0.08498901 0.09628661 0.09819225
 0.44476616]","[ 27.03316736  28.66156722  24.25984149  24.64140099  27.91698611
  28.46950011 128.95387019]"
35,2,7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,3.19,0.42,12.8,3,"[0.15105112 0.1357397  0.14195777 0.11173484 0.13507    0.12795801
 0.19648855]","[33.83549921 30.40573574 31.79858527 25.02864014 30.25572336 28.66263553
 44.01349673]"
36,2,6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,3.24,0.35,10.0,2,"[0.08874359 0.07349987 0.06881972 0.07018085 0.07100774 0.07034543
 0.55740279]","[ 26.85662459  22.24338991  20.82702988  21.23895136  21.48919383
  21.28875714 168.6877552 ]"
37,3,7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.28,11.2,4,"[0.1394616  0.12696852 0.12208461 0.10507078 0.09515598 0.09656812
 0.3146904 ]","[29.35994073 26.7298529  25.70167549 22.11986487 20.03256658 20.32985574
 66.24971698]"
38,2,7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,2,"[0.08303317 0.10816009 0.07269483 0.0765851  0.09678074 0.10379562
 0.45895046]","[ 29.55274838  38.49579462  25.87317854  27.25778432  34.44571334
  36.94241448 163.34734097]"
39,2,7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,2,"[0.09419584 0.11442577 0.08442061 0.089861   0.11545334 0.11734363
 0.38429981]","[ 28.85471647  35.0516866   25.86029922  27.52683761  35.36646054
  35.9455071  117.72135303]"
40,3,6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.9937,3.11,0.36,9.4,2,"[0.14066363 0.12969504 0.09607227 0.13794647 0.14316428 0.14209469
 0.21036361]","[53.78064069 49.58696482 36.73179951 52.7417735  54.73672558 54.3277858
 80.42938872]"
41,3,6.7,0.24,0.39,2.9,0.173,63.0,157.0,0.9937,3.1,0.34,9.4,2,"[0.11883705 0.09934339 0.07911322 0.11580428 0.12024723 0.11911246
 0.34754237]","[ 54.33645587  45.42327074  36.17332989  52.94976646  54.98124004
  54.46238273 158.9085284 ]"
42,3,7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,2,"[0.13967869 0.10397865 0.08322409 0.09121709 0.11489241 0.11217177
 0.3548373 ]","[30.30286874 22.55785394 18.05521372 19.78927159 24.92556025 24.33532513
 76.9808771 ]"
43,3,6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,3.22,0.56,9.5,3,"[0.12018173 0.11287005 0.10326321 0.10234913 0.10824498 0.11878185
 0.33430904]","[22.80657868 21.41906021 19.59599483 19.42253142 20.5413727  22.5409264
 63.44096744]"
44,3,6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,3,"[0.11469647 0.12034783 0.10206839 0.10099268 0.10953271 0.11547323
 0.3368887 ]","[22.40624391 23.51025028 19.93931614 19.72917353 21.39748885 22.55798457
 65.8120523 ]"
45,4,7.4,0.18,0.31,1.4,0.058,38.0,167.0,0.9931,3.16,0.53,10.0,3,"[0.09257388 0.08374837 0.07384613 0.07167932 0.07757286 0.08563385
 0.51494559]","[ 25.46885095  23.04078472  20.3164889   19.72035848  21.34178397
  23.55951583 141.67142007]"
46,1,6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.994,3.27,0.52,9.8,2,"[0.09823743 0.089578   0.07978845 0.09089186 0.11033079 0.10634494
 0.42482853]","[ 28.57514614  26.056306    23.20873628  26.43848073  32.09284524
  30.93344616 123.57344535]"
47,2,6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.9939,3.25,0.52,9.8,2,"[0.0897978  0.07911308 0.07114946 0.08222012 0.10008691 0.10075267
 0.47687995]","[ 29.50662931  25.99573954  23.37897639  27.01668255  32.88752429
  33.10628691 156.69782025]"
48,3,7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,2,"[0.09793675 0.07983191 0.0641509  0.06996141 0.0887717  0.10417717
 0.49517016]","[ 27.59987072  22.49768771  18.07857097  19.71604865  25.01703659
  29.35850258 139.5454904 ]"
49,2,6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.995,3.36,0.48,9.8,2,"[0.13595017 0.11849026 0.09886314 0.09902972 0.11565006 0.11548531
 0.31653135]","[27.46707963 23.93951747 19.97409732 20.0077516  23.3656898  23.33240336
 63.9513138 ]"
50,3,7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7,3,"[0.08632381 0.08784209 0.08729055 0.07299444 0.07562206 0.08369169
 0.50623535]","[ 25.39181114  25.83840927  25.67617498  21.47103127  22.24393396
  24.61758402 148.90715524]"
51,4,6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.9914,3.34,0.58,11.0,3,"[0.12828226 0.13703591 0.12369388 0.10732207 0.11486779 0.11184761
 0.27695047]","[24.95067574 26.65324551 24.05824363 20.87395462 22.34158501 21.754164
 53.86638098]"
52,4,6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,3.32,0.46,10.9,4,"[0.12684147 0.11637758 0.12659669 0.10783519 0.10323924 0.10527245
 0.31383738]","[26.67536143 24.47475658 26.62388215 22.67825103 21.7117009  22.13929423
 66.00148534]"
53,3,6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.9911,3.31,0.35,10.9,4,"[0.13112046 0.1363434  0.13783641 0.11533566 0.09903173 0.10456054
 0.2757718 ]","[24.29493091 25.26267534 25.53931104 21.37021078 18.3493038  19.37372126
 51.09695974]"
54,3,6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,3.05,0.38,9.1,2,"[0.14579898 0.10503044 0.08069379 0.10330394 0.1456723  0.14635924
 0.2731413 ]","[ 59.39651694  42.78796971  32.87355102  42.08461602  59.34490739
  59.624759   111.27403753]"
55,3,6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,0.52,11.0,4,"[0.12926522 0.1265887  0.12046247 0.10689987 0.10114212 0.10857966
 0.30706196]","[24.55392007 24.04551403 22.88183784 20.30562352 19.21193904 20.62469783
 58.32639712]"
56,3,7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.9962,3.09,0.5,9.6,2,"[0.10568827 0.10697756 0.08645062 0.09416608 0.10920816 0.11652253
 0.38098679]","[24.67312865 24.9741159  20.18206188 21.98325097 25.49485297 27.20240598
 88.94209273]"
57,3,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,2,"[0.07813273 0.08718326 0.0700816  0.07203674 0.07939417 0.08035638
 0.53281512]","[ 26.0731591   29.09334955  23.38646697  24.03890605  26.49410294
  26.81519558 177.80221711]"
58,3,6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,1,"[0.13506825 0.10572831 0.11248523 0.11287354 0.11304485 0.11493487
 0.30586495]","[27.77059406 21.73818041 23.12743168 23.20727025 23.24249067 23.63108634
 62.8871059 ]"
59,3,7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.34,9.9,4,"[0.13545656 0.14959907 0.14073669 0.12935614 0.11830046 0.12040711
 0.20614397]","[22.71956745 25.09163289 23.60518307 21.69636927 19.84204667 20.19538655
 34.57567445]"
60,3,6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.9951,3.03,0.46,8.6,2,"[0.11322908 0.09508143 0.07770605 0.08617187 0.13555849 0.11939576
 0.37285732]","[ 32.92870608  27.65109961  22.59807986  25.06006504  39.42243209
  34.722069   108.43247576]"
61,3,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,2,"[0.10282633 0.10805588 0.08557757 0.08729067 0.09601764 0.10255464
 0.41767726]","[ 28.03169288  29.45733262  23.32947489  23.79648586  26.17556276
  27.95762708 113.86384166]"
62,2,7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.991,3.02,0.34,10.5,1,"[0.11516165 0.08532758 0.09842936 0.10124667 0.10237951 0.10365035
 0.39380488]","[ 33.7078867   24.97543557  28.81033533  29.63496197  29.96654539
  30.33852154 115.2669337 ]"
63,3,6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,1,"[0.13506825 0.10572831 0.11248523 0.11287354 0.11304485 0.11493487
 0.30586495]","[27.77059406 21.73818041 23.12743168 23.20727025 23.24249067 23.63108634
 62.8871059 ]"
64,3,7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,4,"[0.15851702 0.14171907 0.13571076 0.12620096 0.11311475 0.12903632
 0.19570113]","[23.55994445 21.06331182 20.17031357 18.75689782 16.81193165 19.17830955
 29.08651513]"
65,2,6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,3.22,0.54,9.1,2,"[0.12325363 0.06978525 0.06662665 0.07099136 0.08883876 0.09753767
 0.48296669]","[ 44.80043896  25.3656616   24.21756932  25.80405984  32.29126464
  35.45315776 175.5495584 ]"
66,4,6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,4,"[0.13950596 0.134349   0.14455319 0.10449276 0.08674698 0.08920064
 0.30115147]","[28.54561416 27.49040143 29.5783763  21.38123728 17.75010825 18.25217397
 61.62140985]"
67,2,6.7,0.25,0.13,1.2,0.041,81.0,174.0,0.992,3.14,0.42,9.8,2,"[0.10434612 0.10793791 0.09710972 0.10259278 0.1203933  0.11077427
 0.35684591]","[27.93635408 28.89797456 25.99896741 27.46693537 32.2326294  29.65734912
 95.53755788]"
68,5,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,4,"[0.12451401 0.13699469 0.13829558 0.11911843 0.10228576 0.11204233
 0.2667492 ]","[21.56196883 23.72323516 23.94851015 20.627621   17.71272415 19.40225991
 46.19269664]"
69,2,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,2,"[0.11815488 0.09964452 0.09097917 0.09294491 0.09704234 0.10959801
 0.39163617]","[27.05775739 22.81883951 20.83445224 21.28461109 22.22293456 25.09821188
 89.6856419 ]"
70,3,6.2,0.27,0.43,7.8,0.056,48.0,244.0,0.9956,3.1,0.51,9.0,2,"[0.07941373 0.07711281 0.06299884 0.07003573 0.09092736 0.09090423
 0.52860728]","[ 28.58327159  27.75510449  22.67508413  25.20786198  32.72735542
  32.71903139 190.26086764]"
71,2,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,2,"[0.0798619  0.08261924 0.06900759 0.07511815 0.0965019  0.0974454
 0.49944581]","[ 26.97508368  27.90643544  23.30880817  25.37278157  32.59560564
  32.91429279 168.698631  ]"
72,2,6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.9964,3.69,0.71,10.0,3,"[0.1022989  0.10459098 0.10502561 0.09870054 0.10604132 0.10669972
 0.37664292]","[ 32.87826115  33.61492223  33.75460705  31.72176918  34.08105294
  34.29265825 121.05080147]"
73,3,8.6,0.23,0.46,1.0,0.054,9.0,72.0,0.9941,2.95,0.49,9.1,0,"[0.08701583 0.09050298 0.09810156 0.10016459 0.11367253 0.11481055
 0.39573196]","[ 25.16753667  26.1761223   28.37385641  28.97054502  32.87743812
  33.20658558 114.45731925]"
74,5,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,4,"[0.11837982 0.11430626 0.12219832 0.10520878 0.0898615  0.10352588
 0.34651945]","[23.18924466 22.39127978 23.93724339 20.6091887  17.60283274 20.2795287
 67.87917075]"
75,2,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,2,"[0.09815797 0.08807839 0.08000433 0.08112567 0.08746185 0.09282623
 0.47234555]","[ 25.64757082  23.01389212  20.9042291   21.19722436  22.85279605
  24.25444935 123.4185716 ]"
76,4,7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.9898,3.26,0.37,12.7,5,"[0.12952078 0.13140995 0.14934714 0.10813419 0.08815584 0.08570842
 0.30772368]","[29.23033253 29.65668159 33.7047588  24.4037935  19.89506538 19.3427303
 69.44727642]"
77,4,7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,4,"[0.08560614 0.08870199 0.10510313 0.08337984 0.06888806 0.07261918
 0.49570166]","[ 25.08035511  25.98735638  30.79246003  24.42810628  20.18239591
  21.27551587 145.22758867]"
78,2,7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,0.56,9.3,2,"[0.10582973 0.09793003 0.08795387 0.08979837 0.10492736 0.10756426
 0.40599638]","[ 27.13575493  25.11019395  22.55221233  23.02516061  26.90437762
  27.58050276 104.10135024]"
79,2,6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,1,"[0.07759489 0.06386961 0.07104849 0.0813608  0.08447485 0.08406066
 0.5375907 ]","[ 27.17894938  22.37143331  24.88596111  28.49802309  29.58877476
  29.44369692 188.30042428]"
80,3,6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77,10.6,4,"[0.10432564 0.10130774 0.10295007 0.08795813 0.07771641 0.08330747
 0.44243454]","[ 28.40700862  27.58525738  28.03245107  23.95026922  21.16153489
  22.68393429 120.47126004]"
81,3,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,2,"[0.09890798 0.12173791 0.08883077 0.09363064 0.11300248 0.11679354
 0.36709669]","[25.77565988 31.72519446 23.14951381 24.40037095 29.44872077 30.43667932
 95.66628866]"
82,2,7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.9946,3.17,0.42,10.0,2,"[0.14201579 0.10508122 0.08542698 0.09270679 0.11112797 0.10790364
 0.3557376 ]","[31.39080975 23.22688512 18.88256295 20.49167295 24.56344435 23.85074711
 78.63133387]"
83,3,7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.9966,3.33,0.46,9.5,2,"[0.08445941 0.07991547 0.06770842 0.07135    0.08046945 0.08547555
 0.5306217 ]","[ 25.6240523   24.24547346  20.54198785  21.64680365  24.41354343
  25.93233801 160.9847694 ]"
84,2,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,2,"[0.10751019 0.08064478 0.06531269 0.07741931 0.10051914 0.09392526
 0.47466862]","[ 39.84467624  29.88800495  24.20573415  28.69260452  37.25370167
  34.80992152 175.91836743]"
85,3,7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,2,"[0.11825569 0.09167421 0.08023324 0.09503895 0.12041267 0.12369512
 0.37069012]","[ 35.88610346  27.81963723  24.34773621  28.84070847  36.54066487
  37.53676607 112.49035584]"
86,3,7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,2,"[0.09459093 0.07184133 0.05823977 0.06764043 0.08466481 0.08475501
 0.53826771]","[ 39.53788727  30.0288238   24.34353227  28.27289598  35.38888501
  35.42658747 224.9895117 ]"
87,3,6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.9972,3.22,0.48,9.7,2,"[0.0977512  0.11128873 0.08602224 0.09699901 0.11913742 0.11809248
 0.37070892]","[24.96222753 28.41923902 21.96706199 24.77014455 30.42351727 30.15667604
 94.66605541]"
88,2,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,2,"[0.09121955 0.07862037 0.06273425 0.07432045 0.0920352  0.09198847
 0.50908171]","[ 35.312451    30.43512016  24.28536488  28.77055859  35.62820365
  35.61011331 197.07314605]"
89,3,7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,2,"[0.09140704 0.06892681 0.05666633 0.06669683 0.0819266  0.08112847
 0.55324792]","[ 39.71064682  29.94439186  24.61797824  28.97560614  35.59199066
  35.24524942 240.35165448]"
90,3,7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,2,"[0.12776361 0.10147632 0.082761   0.09605448 0.12860379 0.12164769
 0.34169311]","[37.34911477 29.66455473 24.19350893 28.07958807 37.59472208 35.56124901
 99.88708566]"
91,2,6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,3.12,0.47,9.0,2,"[0.0967647  0.10428062 0.08288808 0.09266701 0.11791497 0.11724827
 0.38823636]","[ 28.29688666  30.49476555  24.23894947  27.09859874  34.48185709
  34.28689383 113.53190087]"
92,4,6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.99,3.26,0.4,12.6,4,"[0.14260529 0.15769484 0.16039394 0.11649934 0.09388208 0.09478653
 0.23413797]","[27.237604   30.11970725 30.63523532 22.251369   17.93147212 18.10422332
 44.72034012]"
93,4,6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.9899,3.25,0.41,12.6,5,"[0.16714409 0.17456227 0.18914886 0.13804251 0.11115659 0.1092795
 0.11066618]","[27.40529214 28.62159253 31.01324085 22.63373785 18.22546646 17.91769436
 18.14505709]"
94,4,7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,5,"[0.13722501 0.14877198 0.14014483 0.11776949 0.10619312 0.10519408
 0.24470149]","[24.20754821 26.24452369 24.72262807 20.77544577 18.7332835  18.55704561
 43.16722705]"
